prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,worstLastFramesDur,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,1,5,1000,500,noise,1.3704242732488776,0,0,0,0,,,,,4.469061479903758,3.4683201799052767,-381.1984389536237,370.18160751762935,-380.9750427137751,361.7554683609248,-380.75884998303775,353.6010337334827,-381.4214919796265,378.5948012119309,0,"[16.76560001 17.2537     16.26609999 16.71140001 16.55840001 16.48410002
 16.8559     16.96819998 16.7635     16.60689997 16.5885     16.26610005
 17.28899998 16.4893     16.27239998 16.47610002 17.70269999 15.72879998
 17.1847     16.39480004 16.36740001 16.62489999 16.71269996 16.79990004
 17.0847     16.5264     16.30899997 16.82810002 16.96189999 16.77669998
 16.69020002 16.4654     16.3513     16.51670004 16.7027     16.33299998
 16.8477     16.85369998 16.56090003]",17.702699988149107,0,nan,nan,-234.0,215.0,4.456363679899368,[],3.4684604798676446,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,2,8,1000,1000,no_noise,0.0860831146672556,0,1,1,1,,,,,5.610844479931984,4.827673579915427,-732.433758145459,-237.06559024831054,-726.5189105120118,-243.0008447589461,-720.6488161921716,-248.89119155210287,-738.251228522326,-231.22804895653866,0,"[16.56090003 17.05369999 16.52020001 16.82319999 16.6488     16.7109
 16.57979999 16.56670001 16.3965     16.29240002 17.34079997 16.28390001
 16.56760002 17.22370001 16.28149999 17.0692     16.17049996 17.11010002
 16.11199998 17.0015     16.96600002 16.5346     16.40139997 17.10719999
 16.45260002 16.2671     16.74980001 16.74789999 16.6031     16.92289999
 16.21700003 17.48540002 16.40399999 16.4887     16.52939996 16.94910001
 16.6266     16.76090003 16.48629998 16.40359999]",17.485400021541864,0,nan,nan,-809.0,-311.0,5.599030679906718,[],4.827907079947181,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,3,10,500,1000,noise,5.1565040456855105,0,2,2,2,,,,,4.4326505399658345,3.6664025399950333,31.86772794235003,-133.23341618151946,15.405765279402821,-131.90096132507006,-1.2298294649032975,-130.55445243905086,48.47521462962995,-134.57764996110956,0,"[16.40359999 16.59680001 16.53580001 17.28730003 16.43849997 16.72700001
 16.58450003 16.50099998 16.66570001 16.44149999 16.92059997 16.83500002
 16.88780001 16.59499999 16.28580003 16.84299996 16.39830001 17.04300003
 16.76799997 16.99660002 15.94169997 16.8793     17.10140001 16.62080002
 16.24159998 17.03749999 16.09819999 17.61060004 15.541      17.35619997
 16.31060004 16.8017     16.67759998 17.04060001 16.59010001 16.70139999
 16.68639999 16.5199     16.66379999 16.68170001]",17.61060004355386,0,nan,nan,168.0,-130.0,4.420651339984033,[],3.6498938399599865,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,4,2,500,1000,no_noise,5.069398632161119,0,3,3,3,,,,,3.7232060799142346,3.223858979938086,-633.8536042419904,368.6960310637225,-626.0209164872717,365.4887572268282,-618.4693259559995,362.39658510196637,-641.6813409998007,371.90127760125944,0,"[16.68170001 16.28740004 16.68579999 16.97559998 16.88300003 16.5961
 16.45189995 16.86790003 16.58890001 16.57579996 16.72860002 15.938
 16.5811     16.88790001 16.8781     17.37799996 16.25800005 16.71709999
 16.11630002 17.13149995 16.69430005 16.2136     17.04469998 16.23840001
 16.73759997 17.19290001 16.44209999 17.02929998 16.06320002 17.08369999
 16.12759999 16.39900001 17.10900001 17.25700003 15.70589998 17.14730001
 16.2971     16.96099999 16.91609999 16.71480003]",17.377999960444868,0,nan,nan,-80.0,108.0,3.71140597993508,[],3.2240291798952967,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,5,1,1000,500,no_noise,None,0,4,4,4,,,,,4.156602379924152,3.523644879925996,523.0640622045992,-17.87187423052179,517.2702724705879,-2.3386202897626296,511.45673744733864,13.247571124730957,528.6343982670649,-32.80604487978051,0,"[16.71480003 17.13969995 16.05910005 16.54059999 16.74970001 16.65209996
 17.3673     16.10560005 16.99729997 16.7176     16.7033     16.65350003
 16.82919997 15.9619     16.63979999 17.18660002 16.24079997 17.307
 16.14130003 16.71200001 16.57589996 17.16719999 16.17820002 17.1232
 16.53259998 16.19360002 16.54019998 17.0776     17.12690003 16.77039999
 15.85760002 16.61459997 16.71940001 17.0387     16.81910001 16.64039999
 16.63480001 16.58970001 15.95759997 17.56210002]",17.562100023496896,0,nan,nan,681.0,-63.0,4.143966479925439,[],3.5238101799041033,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,6,7,500,500,noise,1.9636512838778843,0,5,5,5,,,,,5.382377879926935,4.8325159799424,-25.478744310975962,163.17980715387841,-41.78982211624306,161.7722201721202,-59.141930839060485,160.27479598986267,-8.39693102963259,164.65390581778644,0,"[17.56210002 15.95690002 17.10539998 16.2212     17.3908     16.20149997
 16.50890004 16.73729997 16.22789999 16.69190003 16.63249999 17.67219999
 16.57360001 16.22019999 16.94240002 16.56770002 16.47929999 16.72969997
 16.176      17.10110001 16.24910004 17.34899997 15.87200002 16.82339999
 16.99159999 16.84250002 16.23190002 17.02269999 16.76480001 16.39159996
 16.86209999 15.95590002 17.2298     16.627      16.96630003 15.34809999
 17.33220002 16.42949996 17.11350004 16.79540001]",17.672199988737702,0,nan,nan,17.0,121.0,5.3735918799065985,[],4.815893179911654,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,7,4,1000,1000,noise,0.7013427424260605,0,6,6,6,,,,,4.913047879934311,4.246725879958831,473.75539602422896,-83.48300639279074,472.1474703658,-91.40002358345637,470.4465560483649,-99.77489329238303,475.46007208308043,-75.08961482540339,0,"[16.79540001 17.32109999 16.87390002 15.96470003 16.46239997 16.61729999
 17.15050003 16.15109999 17.34279998 16.8322     16.01339999 16.60490001
 16.69720002 16.83360001 17.08199998 16.60080004 16.89869998 15.9695
 16.96440001 16.64629998 16.8097     16.51480002 16.61419997 17.00950001
 16.1683     16.8716     16.3891     16.46820002 16.63109998 17.12229999
 16.5659     16.42890001 17.1994     16.48769999 16.96909999 16.17090002
 17.12779998 16.16160001 17.13410002 16.56760002]",17.342799983453006,0,nan,nan,118.0,-20.0,4.9005930799175985,[],4.24690547992941,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,8,9,1000,500,noise,2.3544724073978265,0,7,7,7,,,,,5.341033579898067,4.858536179934163,-518.8904823060036,354.84101223803555,-522.4462539328258,362.3139871397079,-525.9293272602022,369.634175916688,-515.3159131065883,347.32853148420406,0,"[16.56760002 16.3517     16.81519998 16.33310004 16.54799999 16.79169998
 17.2454     15.84420004 17.09099999 17.0161     16.39319997 16.53260004
 16.63939998 16.72060002 17.08640001 16.93299995 15.74850001 16.96690003
 16.63570001 16.43599995 17.11190003 16.1748     17.1077     16.3136
 17.38480001 16.45309996 16.64030005 16.09759999 17.2374     16.84609998
 16.58330002 16.34549996 16.76490001 16.26240002 16.65850001 17.41709997
 16.2829     16.49180002 16.66119997 16.91400004]",17.417099967133254,0,nan,nan,-398.0,46.0,5.333256379934028,[],4.858703479927499,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,9,3,500,500,no_noise,2.7529467005372887,0,8,8,8,,,,,5.541484279849101,4.991580879839603,341.454837191187,56.30505343461651,335.0416748260032,50.888584159734556,328.67335788812954,45.50999071978591,347.81100689947806,61.67338749049493,0,"[16.91400004 16.6875     16.58430003 16.6796     16.67510002 16.61429997
 16.91549999 16.25640003 16.6878     17.00499997 16.92949998 16.31040004
 16.5657     16.71399997 16.63050003 16.69189997 16.44189999 17.02880004
 16.90089999 16.48009999 16.47989999 16.40010002 16.9777     16.5732
 16.69409999 16.64019999 16.53020002 16.81529998 16.87310002 16.8246
 16.63059997 16.60870004 16.93609997 16.24530001 16.56339999 16.47640002
 16.66719996 16.78880001 16.63939998 16.7109    ]",17.028800037223846,0,nan,nan,94.0,29.0,5.529236179834697,[],4.991761079872958,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
1,10,6,500,1000,noise,1.5973024069709574,0,9,9,9,,,,,5.025423179962672,4.176133579923771,-622.337669301594,-160.05109163738135,-619.1492527028796,-167.74521781042725,-615.9079867862016,-175.56687729287034,-625.5749155441343,-152.23913222989165,0,"[16.7109     16.66389999 16.22529997 17.17270003 16.85909997 16.05229999
 17.00009999 16.56460005 16.60359994 16.66590001 17.15820003 16.09459997
 17.10520004 15.96549997 17.20220002 16.63919998 16.11120004 17.04089995
 16.69700001 16.688      16.64799999 16.63090003 17.14479999 16.58890001
 16.50109998 16.62050001 16.55130001 16.42629999 17.11010002 16.28499996
 16.61390002 16.70679997 16.76070003 17.13699999 16.01700002 16.7869
 16.95349999 16.66139998 16.91190002 16.44119999]",17.202200018800795,0,nan,nan,-21.0,-6.0,5.0168151799589396,[],4.1763094799243845,None,,,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
