prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,worstLastFramesDur,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
104,325,371,500,500,no_noise,0.4121826723313364,0,12,12,12,3.069583800097462,1.8207268000696786,391.0908165261924,146.02721279463879,383.43459736186855,142.67969433874984,376.2560186058797,139.54101395918326,398.6747894978595,149.34314314442793,0,"[16.92570001 16.68569999 16.61739999 17.16779999 16.29090001 17.27800001
 16.66730002 16.63969998 16.60749997 16.64590003 16.43059996 16.7484
 16.62510005 16.7482     16.7257     16.49740001 17.23369997 16.71569998
 16.28610003 16.88979997 16.40660001 17.13749999 16.2749     16.61210001
 16.83909999 16.71550004 16.19180001 16.92819997 17.2987     16.41500002
 16.62229997 16.20110002 16.30770002 16.67159999 17.2911     17.02139998
 15.85690002 16.70569996 16.58200001 17.0693    ]",17.298699996899813,0,nan,nan,412.0,137.0,3.0586576000787318,[],1.8208980000927113,None,83.49379249999765,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,326,353,500,500,no_noise,0.18179908260437205,0,13,13,13,3.904001700109802,3.1370468001114205,-467.34991325605483,-85.9027981882313,-475.37642007721433,-87.37830126677525,-483.69178672128817,-88.90690509854527,-459.16392865286105,-84.3979785011559,0,"[17.0693     16.68309997 16.0155     16.67790004 17.17209996 16.6723
 16.62850002 16.55910001 17.02779997 16.32220001 16.92979998 16.60750003
 15.99260001 17.375      16.41549997 16.96640003 16.44590002 16.66859997
 16.38350001 17.54679997 16.47040003 16.1979     16.8254     16.61379996
 15.97200002 17.34160003 16.79729996 16.54580003 16.49289997 16.5958
 16.69750002 16.70500002 17.05249998 15.91650001 16.5496     17.15279999
 16.70629997 16.56080002 16.60760003 16.46869996]",17.54679996520281,0,nan,nan,-315.0,-99.0,3.8916983001399785,[],3.1371980000985786,None,86.8439460999798,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,327,379,1000,500,noise,2.0602905403765335,0,14,14,14,3.2077760000829585,2.124408600036986,-842.5444569648558,-47.98322569503983,-838.6342086754452,-55.32312562505909,-834.6509650288692,-62.80004463348307,-846.2835833881468,-40.96453743246348,0,"[16.46869996 16.86240005 16.23399998 16.7865     16.52599999 17.35570002
 16.4352     16.62189997 16.81400003 16.77499997 16.42160001 16.6721
 16.70380001 17.05640001 16.25290001 16.92559995 16.40630001 16.6955
 16.21249999 17.28730003 16.72680001 16.53339999 16.57219999 16.64340001
 17.05580001 16.64359996 16.2981     16.63980004 16.59429999 17.02560001
 16.35779999 17.05759997 16.29540004 16.01229998 17.07270002 16.71429997
 16.94649999 16.63909998 15.9464     17.337     ]",17.35570002347231,0,nan,nan,-701.0,13.0,3.1975268000387587,[],2.1245865000528283,None,91.04376730002696,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,328,359,500,1000,no_noise,1.9921805344071115,0,15,15,15,2.984536600066349,2.0013947000843473,-506.2049467909858,363.5200485301074,-499.4832514401997,348.5240912945344,-492.81963748258397,333.657712393401,-513.0374876474822,378.7632996962498,0,"[15.9464     17.337      16.43790002 16.67079999 17.17750001 16.40029997
 16.81420003 15.86429996 16.84160001 17.49410003 16.56670001 16.39089995
 16.64770005 16.71579998 16.6264     17.01489999 16.28660003 16.72299998
 16.79889997 16.955      16.49060001 16.32410003 16.3736     16.66630001
 17.00959995 16.90440002 16.4126     16.56620001 16.49239997 16.78170002
 16.17780002 17.30309997 16.62980003 16.60209999 16.68419997 16.61210001
 16.29170001 16.43090002 16.70829998 17.4745    ]",17.494100029580295,0,nan,nan,-385.0,275.0,2.972677400102839,[],2.001572900102474,None,94.5427786000073,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,329,389,500,500,noise,4.388043427850533,0,16,16,16,3.981716150068678,2.565478750038892,-573.092946384339,37.95874077671241,-570.4174765086093,45.916258181383185,-567.7528739017476,53.84145360704652,-575.7284686640162,30.120037526424547,0,"[17.4745     16.07110002 16.67049999 17.22139999 16.49770001 17.03640004
 16.71910001 15.95189999 17.17539999 17.08800002 16.49449999 16.45469997
 16.80070005 16.59309998 17.22119999 15.68850002 16.70799998 17.04220002
 16.79859997 16.50690002 17.09470002 16.52489998 16.33999997 16.89490001
 16.38520003 16.67689998 16.19619998 17.38090004 16.51869999 15.74249996
 16.8104     16.65960002 17.62609999 16.63690002 16.59939997 16.23480004
 16.72329998 16.9631     16.53939998 16.69610001]",17.626099986955523,0,nan,nan,-535.0,67.0,3.9728719500708394,[],2.5656234500347637,None,97.82562780001899,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,330,367,1000,1000,no_noise,5.2940807619993935,0,17,17,17,2.8459278501104563,1.8126443501096219,424.0085183438762,286.08712344535627,414.85295383654847,300.0100495212881,405.71145492795546,313.9115859503838,432.9846912672393,272.43699930972906,0,"[16.69610001 17.61139999 16.31380001 16.63289999 16.626      16.90350001
 16.4275     16.85990003 16.84629999 16.58190001 16.59869996 16.7485
 16.83179999 15.89490002 16.99610002 16.02009998 16.89060003 16.97169995
 16.4808     17.20640005 16.32299996 16.50910004 16.61409996 16.7033
 16.97729999 16.59670001 16.57570002 16.66989998 16.74290001 16.37259999
 16.43409999 16.66640001 16.4431     16.85469999 17.25580002 16.73239999
 16.65469998 16.65980002 16.38669998 16.96400001]",17.611399991437793,0,nan,nan,383.0,229.0,2.8337766501354054,[],1.8128500501043163,None,102.09187830000883,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,331,357,1000,500,noise,3.0977736021104136,0,18,18,18,3.4046014500781894,2.388467450044118,472.9118606374101,-105.01653415439294,480.8932918980399,-105.36649691927569,489.43248721886,-105.74091603118224,464.22890342748224,-104.6358114978521,0,"[16.96400001 16.30699995 17.14100002 16.18859998 16.92710002 16.89859998
 15.65980003 16.71439997 17.4209     17.01250003 16.57709997 16.5886
 16.38630003 16.69099997 16.70929999 16.58970001 16.90410002 17.2074
 15.7778     16.68940001 17.40159997 15.4334     16.7712     16.96640003
 16.70719997 16.52870001 16.5881     16.99650002 16.57979999 16.5876
 16.53359999 16.9937     16.6953     16.5418     16.71479997 16.57360001
 16.99989999 16.01430005 17.3906     16.58289996]",17.42089999606833,0,nan,nan,158.0,-105.0,3.395220050064381,[],2.3886838500620797,None,105.24114629998803,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,332,361,500,500,noise,3.9864171723791895,0,19,19,19,4.407335950061679,3.2079358500777744,693.4308363793958,329.1387703250803,698.9634666698079,335.3713907850863,704.4420917574752,341.54317328667,687.8436365794734,322.8446762036123,0,"[16.58289996 16.96470001 16.96390001 16.44049998 16.85200003 16.67509996
 16.5811     16.63239999 16.14190004 17.3072     16.59929997 16.46870002
 16.85219997 16.67620003 16.05959999 16.93330001 16.41929999 16.5959
 17.30559999 16.82919997 16.64520003 16.63149998 16.64710004 16.65859995
 16.6191     16.50630002 16.86799998 16.66080003 16.62730001 16.00840001
 17.16290001 17.0926     16.26519999 16.92239998 16.63760003 16.40369999
 16.64049999 16.66829997 16.83610003 16.62559999]",17.307200003415346,0,nan,nan,797.0,405.0,4.399967150064185,[],3.2082279500900768,None,108.94027269998332,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,333,410,500,1000,no_noise,2.738973304957846,0,20,20,20,4.278694450040348,3.394715350063052,389.9137847065864,342.1442196074745,405.03046601425297,335.7062636271541,419.6794920750903,329.4674746353926,374.67363434820925,348.6347591077639,0,"[16.62559999 16.53319999 16.62720001 16.52949996 17.02309999 15.89210005
 16.70029998 17.2068     16.74320002 16.512      16.40329999 16.65479998
 17.29290001 16.29379997 16.62710001 16.96750004 16.6796     16.31799998
 17.91240001 14.96449998 17.36669999 16.21700003 16.66889997 16.47870004
 16.62989997 17.38510001 16.40139997 16.23570005 17.4062     16.56899997
 16.5801     16.5351     16.6182     16.63730002 16.87970001 17.3299
 15.94249997 16.43439999 16.42500004 16.60069998]",17.91240001330152,0,nan,nan,207.0,371.0,4.267773350060452,[],3.3948672500555404,None,113.64006689999951,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,334,406,500,500,noise,2.9123778081342904,0,21,21,21,3.6362472000764683,2.4033577000373043,-874.7433426644551,97.31318690996747,-866.6574094954951,95.42661486358755,-858.3682348386598,93.49262346539277,-882.778830670308,99.18798932721438,0,"[16.60069998 16.44729997 16.62320003 16.87960001 16.59889997 16.79760002
 16.57179999 16.42090001 17.23409997 16.66140003 16.41459996 16.54110005
 16.26359997 16.73259999 17.63280004 16.19729999 16.68369997 16.60080004
 16.94829995 16.69900003 16.26519999 16.96119999 16.39460004 16.73049998
 16.60789998 16.86660002 15.81250003 16.63329999 17.32739998 17.11419999
 16.36200002 16.55319997 16.92210004 16.35329996 16.7105     16.66030003
 17.0244     16.61389996 16.49230003 16.56409999]",17.63280003797263,0,nan,nan,-628.0,143.0,3.623600000049919,[],2.4035409000352956,None,118.20612059999257,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
