prot_id,trial_id,no_targets,noise_present,trajectory_id,mark_type,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion
0,1,4,noise,86,mark,0,0,0,0,10.87236335,8.006220526,-549.9620747,-135.1764522,0,"[16.818576   16.568081   16.380031   16.708242   17.122538   16.709126
 16.310363   16.782045   16.270017   16.855663   17.08757599 17.001711
 16.069482   16.789225   16.729839   16.628663   16.593986   16.607417
 16.461002   16.99666    17.083147   16.170943   16.951921   16.592003
 16.57303501 16.529715   16.31236    17.085199   16.216949   16.97335
 16.765427   16.796041   17.12262    16.017964   16.839442   16.572936
 16.681922   16.734415   16.385313  ]",0,[432.0],[205.0],[],[],[],[10.86466301420296],[],8.006270082,None,17.62885506,None,../,999,1,noiseMot_exp1_noise,2021_Jul_14_1317,2021.1.4
,,,,,,,,,,10.10950786,8.01008078,210.3153537,332.5006495,0,"[16.385313   16.511447   17.22304001 16.567306   16.582798   16.456543
 16.872825   16.375421   16.85457199 16.782495   16.674354   16.348826
 17.55376    15.862237   17.117107   16.539672   16.37678    16.331324
 16.941804   16.588146   17.406605   16.032185   16.537678   16.6183
 17.601332   16.04405299 16.732467   16.836882   16.246714   16.610415
 16.708004   16.589398   16.740456   16.748295   16.997811   16.319675
 17.12129801 16.13148599 17.483851   16.443608  ]",0,[206.0],[328.0],[],[],[],[10.100013880502956],[],8.010136999,None,29.35116678,None,,,,,,
