prot_id,trial_id,no_targets,noise_present,trajectory_id,mark_type,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
0,1,4,noise,86,mark,0,0,0,0,8.020586344995536,8.004328008995799,-550.305211606467,-135.02061263130813,0,"[14.960064   16.514095   16.874608   16.396406   17.266168   16.390182
 16.544264   17.353617   16.03523    16.686075   18.378788   16.447505
 16.823292   16.634717   16.672064   16.623152   16.673412   16.815004
 16.565822   16.66177    16.695337   16.757937   16.478487   16.88953
 16.494176   16.321685   16.72285501 16.911041   16.746457   16.66212201
 16.700762   16.733846   16.589267   16.553471   16.685831   16.633206
 16.716724   16.399901   17.011217  ]",0,-315.0,452.0,[],[],[],8.013935030998255,[],8.00438495799608,None,16.3053404040038,None,../,999,1,noiseMot_exp1_noise,2021_Jul_14_1504,2021.1.4,
0,2,2,no_noise,173,mark,0,1,1,1,8.025054996993276,8.008356042999367,210.17481835965555,332.224427039348,0,"[17.011217   16.692603   16.453195   16.66417001 16.295684   16.815828
 16.900256   16.797503   16.608782   16.59433899 16.63782101 16.59907999
 16.918349   16.763855   16.458154   16.67264799 16.51592401 16.84462799
 16.654034   16.65571301 16.40556999 16.519133   17.091164   16.714776
 16.478414   16.767362   16.727706   16.62882201 16.85221599 16.629277
 16.697528   16.626747   16.63971    16.6635     16.44755    16.73077
 16.683323   16.285357   17.059545   16.783892  ]",0,-315.0,452.0,[],[],[],8.014071377998334,[],8.00841397899785,None,25.181853606001823,None,../,999,1,noiseMot_exp1_noise,2021_Jul_14_1504,2021.1.4,
,,,,,,,,,,8.021325473004254,8.004300284002966,547.5355253620901,-199.78085966399692,0,"[16.783892   16.645364   16.77937801 16.58100299 16.659255   16.721811
 16.557139   16.683713   16.481836   16.784469   16.478269   16.826699
 16.701096   16.902641   16.335443   16.843072   16.764216   16.629936
 16.705843   16.691823   16.601175   16.649509   16.747366   16.621986
 16.734398   16.640891   16.460855   16.887458   16.522294   16.711716
 16.635622   16.65247    15.39585101 17.96087799 16.64409501 16.615133
 16.737215   16.700343   16.687379   16.210871  ]",0,-315.0,452.0,[],[],[],8.009880957004498,[],8.004355181001301,None,34.06537326200487,None,,,,,,,
