prot_id,trial_id,no_targets,noise_present,trajectory_id,mark_type,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimesFromRecordFrameIntervals,timingHiccupsInLastFramesOfStimuli,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
0,1,4,noise,86,mark,0,0,0,0,9.522066967991123,8.00529446399014,-549.9100228304114,-135.2000921747399,0,"[14.776887   16.387216   19.049196   16.053833   17.041311   16.281911
 16.153525   17.337556   14.86879    16.819218   16.549344   18.250926
 15.275218   18.166317   16.470678   17.312363   14.680037   18.198941
 15.030807   18.229835   15.06411    16.791837   16.594533   16.606159
 18.327637   14.934801   18.553985   15.041369   17.88232    17.63239101
 14.532079   18.141201   14.951495   18.368872   15.008555   18.934542
 14.25714199 18.27787401 15.07897799]",0,[231.0],[248.0],[],[],[],[9.514622901995608],[],8.005345186997147,None,18.321638834000623,None,../,999,1,noiseMot_exp1_noise,2021_Jul_14_1312,2021.1.4,
,,,,,,,,,,9.172729266509123,8.006068598508136,210.04407757555433,331.96745574648656,0,"[14.776887   16.387216   19.049196   16.053833   17.041311   16.281911
 16.153525   17.337556   14.86879    16.819218   16.549344   18.250926
 15.275218   18.166317   16.470678   17.312363   14.680037   18.198941
 15.030807   18.229835   15.06411    16.791837   16.594533   16.606159
 18.327637   14.934801   18.553985   15.041369   17.88232    17.63239101
 14.532079   18.141201   14.951495   18.368872   15.008555   18.934542
 14.25714199 18.27787401 15.07897799 14.89059799 18.61022    14.653842
 16.96656    16.204054   18.760702   14.71682001 18.337593   16.547294
 16.683067   15.423615   18.017293   15.066323   16.606683   16.437764
 16.551694   16.83463    16.980241   16.387761   16.642036   16.612966
 16.721066   16.719576   16.811945   18.678256   14.595458   16.512436
 16.756492   16.60624    18.710651   14.812804   16.55992    18.86815301
 14.641008   18.976988   16.239073   14.633433   16.658057   16.411362  ]",0,[178.0],[374.0],[],[],[],[9.164916516507219],[],8.006117796503531,None,28.69526100299845,None,,,,,,,
