prot_id,trial_id,noise_present,no_targets,trajectory_id,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cued_cage,obj_2_cage,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,text_5.started,text_5.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
0,1,noise,2,118,0,0,0,0,,,,,4,3,6.051085051265545,4.551099592237733,-152.0829817261995,-94.17333167828694,-150.45093349571334,-93.28196730584874,-148.60427730686575,-92.2733920051109,-153.8668344563639,-95.14760605305312,0,"[17.75891602 15.62554203 17.74004195 15.75787505 17.53424999 15.69379098
 17.45895902 15.90125001 16.19695796 17.364542   17.13054103 16.110125
 17.231417   16.01320796 17.376167   15.87616705 17.40633295 15.99150005
 16.61762496 16.585042   17.77612499 14.68349999 18.41737505 16.07579098
 17.33554201 15.68433299 17.54170901 15.98833298 17.49729202 15.56129102
 17.646792   15.81758296 17.42550003 15.88124997 17.536834   15.49491601
 16.93837502 15.68887499]",0,nan,nan,-135.0,-99.0,6.041531217226293,[],4.551164009259082,None,13.121228542004246,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
0,2,no_noise,4,153,0,1,1,1,,,,,4,1,6.226920175249688,4.5596894672489725,-456.40734270013377,-439.03426648921476,-457.8815121260483,-437.5938667965319,-459.30401898074126,-436.2039462078127,-455.02344870935775,-440.38645874336004,0,"[15.68887499 16.70762501 16.13554196 17.233458   16.44866704 16.950708
 16.49479195 17.07075001 16.35695802 16.99491701 16.224208   17.24966697
 19.55079101 13.26216699 16.79291704 16.60500001 16.63441595 16.79404202
 16.52470801 16.975292   16.39124996 16.56279201 16.81475004 16.59349998
 16.58254099 16.78429201 16.63849998 16.64762502 16.668458   16.75412501
 16.54029201 16.72887499 16.55349997 16.78900002 16.75845799 16.50187501
 16.57579199 17.17483299 16.12387504 16.932834  ]",0,nan,nan,-455.0,-399.0,6.215543842234183,[],4.55974380025873,None,19.996053875016514,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
0,3,no_noise,1,90,0,2,2,2,,,,,2,4,6.212481258204207,4.561848217213992,143.09407278855542,144.09304508654876,144.6216556842611,142.85874687707255,146.2126153676245,141.573239757266,141.54506094974707,145.34465803958292,0,"[16.932834   16.67720801 16.546042   16.88708295 16.90479205 16.46049996
 16.4735     16.70066599 17.27012504 19.47937498 12.72416703 17.58358296
 16.40354202 16.67649997 16.61087503 16.607208   16.58466697 16.85079205
 16.675541   16.645875   16.52299997 16.810584   16.53466601 16.41450002
 16.92808396 16.77633304 16.88058296 16.41541702 16.71166701 16.68945799
 16.56837499 16.72087499 16.588667   16.66825003 16.916083   16.45279198
 17.035875   16.37412503 16.59416599 16.71120897]",0,nan,nan,110.0,120.0,6.200893425208051,[],4.561901925248094,None,27.04520966700511,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
0,4,no_noise,2,91,0,3,3,3,,,,,2,3,6.830739092256408,4.563535050256178,286.0967948494689,193.75048838755322,284.0893736126872,193.81022719729694,282.09807012237553,193.8694863593353,288.0850796345406,193.6913190591057,0,"[16.71120897 17.168833   16.59362501 16.42516698 16.58962504 16.80762495
 16.92358305 19.81433295 13.21200002 17.41587499 16.25745901 16.988875
 16.29087504 16.817166   16.508959   16.83158299 16.44933299 17.01374998
 16.385542   16.72045799 16.65479201 16.71612501 16.59645798 16.819084
 16.656333   16.78070804 16.54249994 16.635334   16.52604103 16.85800002
 16.43454196 16.88541699 16.52058301 16.68391703 16.57733298 16.72458299
 16.600709   16.73641603 16.57787501 16.79841697]",0,nan,nan,267.0,176.0,6.819736550271045,[],4.563587258278858,None,34.07753670902457,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
0,5,noise,4,177,0,4,4,4,,,,,2,4,7.310907174251042,4.560597007279284,542.9348125336378,336.625884659616,544.5859661742758,335.53763959903375,546.2735741165498,334.4253681772964,541.2221848952166,337.75464610389236,0,"[16.79841697 16.84283302 16.33779198 16.75112499 16.936125   17.24958303
 15.77629196 16.67229104 16.46895899 17.157458   16.29416697 17.11725001
 16.11929102 16.99158398 16.68941602 16.60641702 16.83345798 16.44491701
 16.78954199 16.59349998 16.65350003 16.46420796 16.95533301 16.91416703
 16.75187499 16.18937496 16.54712501 17.401958   17.86266704 15.315292
 16.98754099 16.31658402 16.43358299 16.67645801 16.53824997 16.55879198
 16.85866702 16.511083   17.03308302 17.2       ]",0,nan,nan,561.0,307.0,7.303364257270005,[],4.560697716253344,None,41.72938841703581,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
0,6,noise,1,92,0,5,5,5,,,,,1,2,7.379634300305042,4.5624456342775375,-367.8237456298112,293.74684607626943,-365.81316328593107,293.6077944604573,-363.8537587006542,293.4722822918352,-369.80835996103986,293.8841017476729,0,"[17.2        16.83725003 16.61195897 16.87308302 16.43349999 16.83916704
 16.44641598 16.75841701 16.65587496 16.767792   16.53900003 16.70833299
 16.67891699 16.64258301 16.58716699 17.181125   16.28525002 16.67954098
 16.50412503 17.704667   19.22795799 13.16933398 16.72133303 16.68804197
 16.62041602 16.73041697 16.56208304 16.81662496 16.71287505 16.71791699
 16.32612495 16.780167   16.54041605 16.84770896 16.65162499 16.85758302
 16.36766701 16.79387502 16.57987497 16.73375   ]",0,nan,nan,-306.0,257.0,7.370875759283081,[],4.562500884290785,None,49.86216904205503,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
1,1,no_noise,1,114,,,,,0,0,0,0,3,4,6.480603841191623,4.5632604252314195,104.39686950654138,-245.23952698507748,104.58166299485781,-243.2521247666362,104.76299711670808,-241.30192706579948,104.20974802438009,-247.25196612540353,0,"[16.73375    16.523625   16.68570901 16.68804098 16.66345901 16.78183302
 16.57454198 16.69233298 16.92995802 16.30287501 16.82470902 16.54433296
 16.78641699 16.48408303 16.78954199 16.59595803 16.70304197 16.79008303
 16.76545799 16.599792   16.76954201 16.70445799 16.58599998 16.573083
 16.58162504 17.19954197 19.52500001 13.30962498 16.73912501 16.65300003
 16.71424997 16.538375   16.738292   16.87300002 16.48566598 16.87716699
 16.32154203 16.62883296 16.84070803 16.43370901]",0,nan,nan,88.0,-193.0,6.469815008225851,[],4.56331225822214,None,59.761256459052674,None,57.53171204205137,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
1,2,noise,2,5,,,,,0,1,1,1,2,1,6.729572549229488,4.562637549184728,313.0832007534045,118.9182032991236,312.91803796841384,120.97305634816384,312.76505319680547,122.87639809923706,313.2406316911611,116.9595451033276,0,"[16.43370901 16.62358304 16.72104199 16.95199998 16.25466702 16.79829101
 16.59533399 17.49112498 19.07404099 13.60920904 16.55541599 16.65175002
 16.71420899 16.63908298 16.60887501 16.84499998 16.50604204 16.916083
 16.41666697 16.686416   16.69349999 16.68804203 16.65833301 16.65762498
 16.53274999 16.99270902 16.26308297 16.98216703 16.56258298 16.62008301
 16.65454201 16.686583   16.94466698 16.69016702 16.24041604 17.292334
 15.929916   17.17912499 16.37662499 16.81812498]",0,nan,nan,278.0,94.0,6.718438091222197,[],4.5626912582083605,None,67.06177675002255,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
1,3,noise,1,29,,,,,0,2,2,2,1,3,6.778010924172122,4.561285007221159,-429.362394292362,115.95636430826427,-431.14691521908,116.8990073695115,-432.5684910180998,117.6499307926666,-427.5916893529324,115.0210193091225,0,"[16.81812498 16.713708   16.36845805 16.82774996 16.46141702 16.76112501
 16.56974998 16.75483299 16.64779201 16.86287503 16.42324997 16.80108299
 16.50937501 16.768375   16.60962502 16.81545901 16.919958   16.347875
 16.55870798 16.79562498 16.50162501 16.821125   16.43916703 16.88479196
 16.61195804 16.75662497 16.63016703 16.69770799 16.62800001 16.752125
 16.71483298 16.738459   16.39958302 16.745542   17.18504098 19.36054201
 13.397292   16.81737497 16.68879105 16.783292  ]",0,nan,nan,-470.0,130.0,6.769479840178974,[],4.561337215185631,None,74.61244033405092,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
1,4,noise,1,50,,,,,0,3,3,3,1,4,6.529991925228387,4.563114008225966,-208.4678705934057,305.3062136574388,-209.6383347892859,306.97430246936227,-210.7855478452669,308.6092548842334,-207.3411745178464,303.700501048122,0,"[16.783292   16.65149996 16.55245799 16.80787501 16.61683299 16.74550003
 16.57149999 16.840917   16.438208   16.84300002 16.616042   16.70604199
 16.83116599 16.500292   16.43104199 16.80366602 16.61808399 16.992166
 16.3055     16.85625    16.500375   16.78224996 16.88875002 16.41450002
 16.82391699 16.54329203 16.68620796 16.667958   16.45483403 16.82462497
 16.60504099 16.971334   16.29016601 16.798375   16.68241702 16.58520801
 16.64441702 16.98320796 16.347792   16.79533301]",0,nan,nan,-206.0,213.0,6.518438633240294,[],4.563165842264425,None,82.21107583399862,None,,,../,999,1,noiseMot_exp1_noise,2021_Jul_19_2147,2021.1.2,
