prot_id,trial_id,noise_present,no_targets,trajectory_id
0,1,noise,4,1
0,2,no_noise,4,2
0,3,noise,4,3
0,4,no_noise,1,4
0,5,no_noise,1,5
0,6,no_noise,4,6
0,7,noise,1,7
0,8,noise,1,8
