practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,worstLastFramesDur,timingHiccupsInLastFramesOfStimuli,cue.started,cue.stopped,motbox_path,participant,expName,date,psychopyVersion,response,wasUp,condition,flipStatus,offset,trialNumber,
0,-1,-1,0,,,,,3.3165857180720195,2.6336624281248078,-0.11803814698960213,-199.188212165609,-16.88089209632035,-199.188212165609,-33.55012612440642,-199.188212165609,16.39551588310842,-199.188212165609,0,"[16.58961701 16.6867529  16.8193701  16.4659319  16.68769401 16.61769208
 16.60282095 16.77437103 16.81613002 16.54191199 16.88213192 16.45465405
 16.64687705 16.66895591 16.617271   16.70956309 16.62685396 16.67202101
 16.73705899 16.65809297 16.33925107 17.05469098 17.15977292 15.91221499
 16.71082608 16.83998096 16.66820201 16.64650103 16.61513001 16.85658493
 16.49601606 16.70477097 16.630625   16.76385198 16.52328903 17.14761404]",17.159772920422256,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['up'],1,1000x1000xstatic,flipped,0,practice,
0,-1,-1,0,,,,,3.4116623220033944,2.6253346799639985,-7.9290594467895055,-199.62333357031457,-24.6445164112376,-199.62333357031457,-41.075641408562845,-199.62333357031457,8.820601619779882,-199.62333357031457,0,"[16.630625   16.76385198 16.52328903 17.14761404 16.6724131  16.80505194
 16.41762804 16.76909102 17.59080694 15.74075501 17.06593297 16.18694304
 16.73029899 16.75141801 16.60247694 16.62306604 16.71011699 16.67531999
 16.55553898 16.92053804 16.50625397 16.67521207 16.65286394 16.69139008
 16.62553893 16.76741603 16.86529804 15.956613   17.25641591 16.48125506
 16.68872603 16.65348792 16.69752703 16.55756601 16.78414096 16.75312
 16.58030902 16.67760103 16.75852702 16.58411196]",17.59080693591386,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['up'],1,1000x1000xdynamic,flipped,0,practice,
0,-1,-1,0,,,,,3.2300849580205977,2.713279791059904,15.011278336061011,-199.25098061887547,6.693986832288871,-199.25098061887547,-1.5838241613154906,-199.25098061887547,23.347740823993306,-199.25098061887547,0,"[16.58411196 16.62028499 16.59960498 16.87009097 16.63742203 16.58989198
 16.61869406 16.49218297 16.81021997 16.77072607 16.82289201 16.47180598
 16.61697798 16.69348392 16.65073307 16.74249396 16.638687   16.56897098
 16.88748004 16.44334604 17.13965693 16.29428507 16.60705195 16.83815406
 16.6646319  16.4090771  16.78626495 16.85889403 16.49476099 16.64386201
 16.68561494 16.68736502 16.61188202 16.72948699 16.526917   16.91241504
 16.57762693 16.65530307 16.63739199 16.53762301]",17.13965693488717,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['up'],1,1000x500xstatic,flipped,0,practice,
0,-1,-1,0,,,,,4.055325016961433,3.2219936419278383,-6.585287928114885,-199.27009189943783,-14.858708958140813,-199.27009189943783,-23.25109695922514,-199.27009189943783,1.756964534056133,-199.27009189943783,0,"[16.53762301 16.63146203 16.85631904 16.52479998 16.71390701 16.7090859
 16.59708202 16.47561998 16.8244791  16.89630898 16.47681592 16.77841507
 16.52451896 16.63965604 16.70101599 16.82898996 16.12405002 17.25715108
 16.45674999 16.68580691 17.17409701 15.77003405 17.52923394 16.24263707
 16.92921703 16.52379497 16.99802396 16.18155104 16.38998394 17.24229206
 15.95390402 17.15002302 16.57622389 16.84303302 16.46141999 16.63000707
 16.76137501 16.56760892 16.68054005 16.76239597]",17.52923394087702,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x500xdynamic,flipped,0,practice,
0,-1,-1,0,,,,,4.058639046968892,3.0587478349916637,-25.419043916290622,-199.64258703729138,-42.05755291414819,-199.64258703729138,-58.77920200956426,-199.64258703729138,-8.779906974187119,-199.64258703729138,0,"[16.76239597 16.39486698 16.87027304 16.86931204 16.50286396 16.35639195
 16.90262405 16.68496896 16.55201009 16.79698098 16.71874698 16.32709603
 16.80538396 17.23219105 16.98127994 16.33270096 16.95357799 16.657128
 16.15252602 17.12056703 16.75302105 16.58818894 16.68156206 16.64104499
 16.65814396 16.71613101 16.66336495 16.74141909 16.61810291 16.62930206
 16.68292494 16.66201011 16.76194801 16.73141192 16.49895299 16.61584608
 16.73178899 16.64428192 16.63120801 16.79180609]",17.232191050425172,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x1000xdynamic,flipped,0,practice,
0,-1,-1,0,,,,,3.9316202759509906,3.2318616489646956,-1.3891811857458736,-199.85443420079537,-9.497033725724794,-199.85443420079537,-17.895267231156357,-199.85443420079537,7.0868508166174795,-199.85443420079537,0,"[16.79180609 16.62800496 16.75493806 16.73003298 16.52494597 16.689257
 16.75707602 16.57248999 16.65631798 16.29080507 17.21436996 16.42725396
 16.82232902 16.62742207 16.81121089 16.50410506 16.63767197 16.71046705
 17.37140992 15.53944906 17.04858593 16.80753811 16.42848295 16.79510798
 16.71802497 16.57374506 16.66270802 16.76389098 16.56955399 16.66227099
 16.69209998 16.67591708 16.68975397 16.64864994 16.64969709 16.76001691
 16.77316101 16.26474399 16.93517505 16.93516294]",17.37140992190689,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x500xstatic,flipped,0,practice,
0,-1,-1,0,,,,,3.7571122989756986,3.0579814210068434,-25.45767001040652,-199.47540331957862,-42.37743504975363,-199.47540331957862,-59.023308015208684,-199.47540331957862,-9.212745965238657,-199.47540331957862,0,"[16.93516294 16.48974    16.73919405 16.95020089 16.421746   16.62804501
 16.700826   16.66261    16.76742709 16.61523699 16.60021394 16.64669998
 16.72083698 16.72584307 16.55288297 16.70217304 16.70080295 16.60008007
 16.71729598 16.68576    16.649139   16.70169493 16.61293209 16.57533995
 16.75844996 16.66182606 16.74655895 16.50243404 16.72113198 16.68658305
 16.67712897 16.67128503 16.65681496 16.62115904 16.71210001 16.64545492
 16.65238407 16.90531394 16.26514306 16.96701103]",16.967011033557355,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x1000xstatic,flipped,0,practice,
0,-1,-1,0,,,,,3.256881973007694,2.703901720000431,10.243055083680744,-199.42705030948855,1.9343981043285083,-199.42705030948855,-6.418151409473424,-199.42705030948855,18.600477102570082,-199.42705030948855,0,"[16.96701103 16.59516001 16.66389406 16.63153293 16.72084408 16.62098698
 16.67612698 16.849807   16.50818798 16.66590804 16.66227903 16.82117593
 16.50293102 16.72750502 16.62158105 16.64000994 16.87667903 16.46656299
 16.669965   16.68103202 16.64267492 16.69832109 16.81281789 16.5271851
 16.847883   16.02606196 17.13924704 16.60249999 16.70625294 16.72957605
 16.62296394 16.63778408 16.73293801 16.54957293 16.71430503 16.640755
 16.703423   16.62212994 16.68841508 16.65614895]",17.139247036539018,0,,,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['up'],1,1000x500xdynamic,flipped,0,practice,
0,-1,-1,0,0,-1,-1,0,2.315331482095644,1.0817483791615814,-117.96030455869777,-199.49468843336217,-126.32465905179424,-199.49468843336217,-134.67774605513705,-199.49468843336217,-109.69183903788372,-199.49468843336217,0,"[16.54957293 16.71430503 16.640755   16.703423   16.62212994 16.68841508
 16.65614895 16.91994304 16.599542   16.74754696 16.185552   17.14781008
 16.60889492 16.69525006 16.609326   16.72597101 16.65193494 16.75003697
 16.64490101 16.65741508 16.62653394 16.71188907 16.60106797 16.64696203
 16.65977796 16.72569895 16.73403301 16.40265703 16.90241997 16.76090807
 16.49512397 16.68215205 16.6083189  16.72950306 16.67873003 16.66334202
 16.67062996 16.74095297 16.55449602 16.67968405]",17.14781008195132,0,83.95873058703728,None,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,1000x500xstatic,flipped,-4,1,
0,-1,-1,0,0,-1,-1,0,2.111229534028098,1.4915309500647709,-58.768113341737774,-199.1281563641969,-75.41732835825184,-199.1281563641969,-92.05709429233917,-199.1281563641969,-42.08814337625751,-199.1281563641969,0,"[16.67968405 16.69938199 16.57642296 16.71892905 16.62697399 16.82776504
 16.51031093 16.52372908 16.88220492 16.58728207 16.65181504 16.68947097
 16.69295295 16.63142501 16.66294702 16.68783999 16.62847097 16.8021
 16.49173105 16.73387201 16.65280096 16.70805807 16.64159901 16.67684398
 16.74682496 16.52612502 16.70750603 16.62780892 16.71112503 16.60660899
 16.76989603 16.60036203 16.74782101 16.66264096 16.56158303 16.72327891
 16.63424901 16.656055   16.68805408 16.735413  ]",16.88220491632819,0,86.5512655019993,None,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x1000xdynamic,flipped,-3,2,
0,-1,-1,0,0,-1,-1,0,2.5917547460412607,1.5756788130383939,-16.732836412085184,-199.38849546806887,-33.36667634063024,-199.38849546806887,-49.96892732084352,-199.38849546806887,-0.027532377099580785,-199.38849546806887,0,"[16.735413   16.78579289 16.35565504 16.94646699 16.61279006 16.70521998
 16.69767697 16.54833998 16.72779408 16.70026395 16.44745807 16.65857492
 16.83677803 16.64853795 16.823621   16.55582502 16.61041798 16.83700201
 16.50375    16.66512701 16.75688708 16.6596109  16.624443   16.41075104
 17.21734204 16.41469693 16.70958998 16.54542901 16.69160207 16.64122101
 16.61692292 16.77487709 16.66615601 16.44649997 16.86509198 16.65273996
 16.659135   16.64315502 16.68366406 16.66229195]",17.217342043295503,0,88.93797320104204,None,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,500x1000xstatic,flipped,1,3,
0,-1,-1,0,0,-1,-1,0,1.990281822043471,1.0911095660412684,-42.580588073935544,-199.74497609073296,-59.141735015902846,-199.74497609073296,-76.02047808980586,-199.74497609073296,-25.94393007969502,-199.74497609073296,0,"[16.86509198 16.65273996 16.659135   16.64315502 16.68366406 16.66229195
 16.78416296 16.60818094 16.689696   16.65477606 16.64386794 16.75236505
 16.577031   16.67933597 16.67377807 16.65967796 16.577626   16.90517401
 16.67565596 16.58613503 16.58041705 16.76493289 16.56498201 16.7188471
 16.60173794 16.66702598 16.66176599 16.70740102 16.55299007 16.77621494
 16.71342505 16.59575698 16.64258202 16.91920299 16.43180696 16.62328106
 16.79289795 16.63730806 16.60504099 16.69820701]",16.91920298617333,0,91.79252214706503,None,../,1808pilot,noiseMot_exp2_noise,2021_Aug_18_1310,2021.2.1,['down'],0,1000x1000xdynamic,flipped,-2,4,
