prot_id,trial_id,trajectory_id,Var1,Var2,Var3,noise_present,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,89,235,2000,2500,1500,no_noise,3.2172603137944216,,,,,0,88,88,88,4.15202353335917,2.935562818311155,-132.72300957689217,299.11044519754194,-107.75034356392455,301.00368308812943,-82.84459418411309,302.89184786776696,-157.6915352857709,297.21752119336827,3,"[16.64212602 16.65076893 16.73794514 16.5875759  16.72611595 16.69453899
 16.60158322 16.64546994 16.66519605 16.77242201 16.54901891 16.71313494
 16.67205594 16.61771303 16.71642507 16.66587591 16.64251718 16.67891396
 16.63825498 16.66056202 16.86027506 16.53094683 16.59443113 16.71404182
 16.64653118 17.68573793 15.66543011 16.87507797 16.41818788 16.74931403
 16.60537906 16.63160697 16.67447598 16.71919995 16.66262606 16.69490896
 16.64417307 16.69348706 16.6930228  16.59189304]",0,nan,nan,-138.0,302.0,4.14169014734216,[],2.9356486934702843,None,539.9794943018351,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,90,38,2000,2500,1500,no_noise,6.023922395015781,,,,,0,89,89,89,4.749484410043806,3.449553817976266,467.6801331714041,127.25214508886748,443.5904193001075,133.641518837796,419.3173957184645,140.07951226969246,491.7739877240136,120.86167309690363,3,"[16.59189304 16.45008195 16.73277211 16.67433488 16.60706615 16.67255792
 16.75368007 16.73782081 16.83363901 16.43575914 17.00431085 16.33345312
 16.75829408 16.440287   16.72940096 16.71686489 16.59115613 16.45039394
 16.65889099 16.87002997 16.677293   16.65674103 16.65747096 16.70163707
 16.66403306 16.64981898 17.37237698 16.221378   16.78165002 16.37144201
 16.84541698 16.39739703 16.6998629  16.68350399 16.67191298 16.63334202
 16.72400301 16.63916511 16.60612901 16.47325279]",0,nan,nan,428.0,82.0,4.7400055271573365,[],3.4331841049715877,None,544.9297159009147,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,91,123,1500,2500,2000,noise,2.4648170338658613,,,,,0,90,90,90,3.60772618628107,2.383908370276913,-242.82016129938097,243.13042850642557,-216.76107372065945,222.19606073440687,-190.75332225804638,201.3029334368044,-268.76436802290203,263.97250762614726,3,"[16.60612901 16.47325279 16.78126887 16.42683707 16.93595503 16.43596496
 17.01647509 16.90567681 16.02867409 17.07889792 16.81569312 16.32925496
 16.61512512 16.77476591 16.6034     16.71725791 16.65729401 16.58225595
 16.74207207 16.69697394 16.61388413 16.68291306 16.66878187 17.006699
 16.62475313 16.79982198 16.38844097 16.65455499 17.0949949  16.06911002
 16.94396604 16.35812502 16.61776309 16.75579697 16.65483299 16.63325494
 16.678771   16.71818411 16.64946997 16.69381093]",0,nan,nan,-254.0,238.0,3.6060694493353367,[],2.3840137461666018,None,550.4788862038404,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,92,211,2000,2500,1500,noise,3.5470115812354432,,,,,0,91,91,91,4.72345468821004,3.331157592125237,-407.2194430256552,39.79520051715268,-384.16263673714553,49.69107877839721,-361.2061030989369,59.54392046606363,-430.1205579069822,29.966144312376976,3,"[16.69381093 17.04772003 16.13364904 16.83500386 16.71082107 16.44254196
 16.91759494 16.70739101 16.67700103 16.72004815 16.99501299 17.08042785
 15.83489007 16.50023088 16.82966109 16.61015791 16.59229421 16.75501489
 16.60743495 16.75939304 16.48598304 16.82431903 16.6682899  16.66576508
 16.6811829  16.41074405 17.06868503 16.35686005 16.86035702 16.93500695
 16.40546205 16.54046681 16.85549319 16.54310199 16.67696098 16.63813787
 16.64407505 16.74013003 16.60156995 16.74114098]",0,nan,nan,-385.0,-2.0,4.721697082277387,[],3.3312753653153777,None,554.8953697108664,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,93,48,1500,2500,2000,noise,5.197347523254578,,,,,0,92,92,92,3.5906692831777036,2.2344992372673005,-175.3322902434299,-197.33685645629785,-190.86907260824609,-167.85136231738673,-206.6426142484595,-137.91654964757663,-159.7871258417069,-226.83825791078334,3,"[16.74114098 16.66272408 16.6700969  16.65948611 16.49000496 16.88891998
 16.68018592 16.61617705 16.47421718 16.88193786 16.62688702 16.86816802
 16.49816497 16.64770301 16.63711295 16.40283316 16.9877049  16.79011807
 16.53218386 16.67911513 16.64630393 16.57254109 16.75285096 16.69617184
 16.62184205 16.71514497 16.68470399 17.05246908 16.90453407 16.24592487
 16.85546315 16.47941791 16.76517911 16.3023558  16.71870216 16.38863585
 16.90097898 16.67171321 16.67485991 16.67463803]",0,nan,nan,-126.0,-251.0,3.5892112432047725,[],2.23459176113829,None,560.4286950267851,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,94,115,2500,1500,2000,noise,5.325218478850283,,,,,0,93,93,93,3.3865655853878707,1.7703271182253957,-275.84887395793356,-293.50064728382165,-296.3482673270495,-264.3465305190914,-315.57345814578764,-237.00457713240536,-257.4219146666361,-319.70736048377347,3,"[16.67463803 16.90209191 16.644469   16.93405001 16.21378004 17.38767186
 16.17320417 16.67628787 16.84453315 16.36949391 16.91411412 16.54434181
 16.60142909 16.7051889  16.61974005 16.67385898 16.64925297 16.71676501
 16.60317904 16.70180098 16.68059104 16.84991503 17.48999394 15.28454013
 17.08113402 16.9379788  16.25345112 16.57376788 16.90655202 16.49133302
 16.67411509 16.63852902 16.70335885 16.65213611 16.78838488 16.47143811
 16.70829393 17.73233502 15.79406904 17.02377293]",0,nan,nan,-228.0,-311.0,3.3826775432098657,[],1.7704941963311285,None,564.8291119819041,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
