prot_id,trial_id,trajectory_id,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,1,1,0,0,0,0,4.166907273000106,4.150145952007733,-578.1516279551366,-64.8273432659825,-575.5473714272632,-51.69239062886991,-569.1892362313362,-19.62419620754104,-582.6882245640178,-87.70833864933532,0,"[15.806957   16.76192399 16.49704101 16.71626201 17.75764499 16.057214
  6.87490401 11.77332    14.31330599 16.81583701 16.44605599 17.24104001
 16.264526   16.689251   16.41975    16.71231299 17.41082699 16.108201
 16.59318301 16.63483199 18.18584901 15.34439001 16.35064499 16.74662199
 16.73007902 16.736016   17.03999098 16.09781    16.63549902 16.79979698
 16.66793099 17.23384802 16.03025899 16.61288901 16.69899398 17.30639001
 16.346755    6.70097899 11.656127   14.82767201]",0,nan,nan,0.0,0.0,4.160567348997574,[],4.150186114013195,None,18.74102821899578,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,2,2,0,1,1,1,3.4177208130131476,3.401555887016002,-137.03385819010643,150.36405096206,-154.73220582397056,132.48342738003132,-172.25761682993257,114.77752150674209,-117.72310480764295,169.8736865201581,0,"[14.82767201 16.83287902 17.111364   16.274389   16.533363   16.56273499
 17.770251   16.048944   16.511614   16.36937502 16.614216   18.44962098
 15.442665   16.25788401 16.686035   16.83501    16.507983   16.66128798
 16.46881402 16.98714698 17.03693799 16.13266103 16.58385599 16.61185699
 16.73222199 16.90116801 16.81446799 16.34966102 16.50708998 18.459449
 15.297948   16.4615     16.57543602 16.63882699 17.70454602 15.701339
 16.606875   16.773785   18.299958   15.443921  ]",0,nan,nan,0.0,0.0,3.405052579008043,[],3.401614143018378,None,23.761434729007306,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,3,3,0,2,2,2,4.622804904007353,4.6069850380008575,64.45614099946708,38.687340486588376,45.55309905501515,54.86666572794621,20.442946987118702,76.35872601963331,83.63875911275312,22.268722872151514,0,"[15.443921   16.730695   16.85186298 16.61810401 17.31379901 15.92863799
 16.580453   16.57213501 18.49659099 15.121704   16.516684   16.612893
 16.713802   17.03039202 16.37133499 16.77729399 16.59307    16.82767502
 16.49656097 16.52026203 16.90988799 17.088372   16.285027   16.471938
 16.526569   16.77225399 17.03040401 16.42590002 16.65671499 16.50273299
 17.74540602 15.637787   16.798328   16.631362   16.84173901 17.42115599
 15.64610199 16.587747   16.83295399 17.54234202]",0,nan,nan,0.0,0.0,4.610482485004468,[],4.6070298140111845,None,28.04137148699374,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,4,4,0,3,3,3,4.273235672997544,4.256511255982332,-124.05463441921844,248.04176625518943,-149.98319865923082,248.2464356741869,-180.18037839145637,248.48479978775472,-100.30898516588616,247.854327869037,0,"[17.54234202 17.04401799 16.32309699 16.534847   16.64473    17.71987102
 15.82688699 16.64497002 16.49593498 16.67153902 16.75501498 16.89495001
 16.54888701 16.745159   17.54002098 15.57291002 16.67069498 16.583852
 16.861913   17.266218   16.19866001 16.37834599 16.62221202 16.62934799
 16.96028101 16.57608501 16.516487   17.15530601 17.22479099 15.54947699
 16.93354902 16.65160598 16.71358099 17.01969502 16.12437901 16.68109698
 16.796065   17.28811901 15.83274698 16.63733   ]",0,nan,nan,0.0,0.0,4.259937652008375,[],4.256551897007739,None,33.52391394998995,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,5,5,0,4,4,4,4.324129983986495,4.308102729002712,-366.57671755977873,325.78688441833236,-343.75850737915266,290.8691859137033,-323.69455321745545,260.1662036603591,-389.6443127542195,361.0862057871136,2,"[15.83274698 16.63733    23.63837801 29.13232398 13.59987201 17.00106301
 17.63247998 15.49622102 16.66872299 16.80551399 16.266452   17.79746599
 15.55126402 16.90798899 16.55354601 16.596612   16.60670398 16.68248302
 16.70902799 16.974564   16.73897699 16.560744   16.89179501 16.616151
 16.36387    17.520286   15.79018199 16.90029501 16.394323   16.67815101
 17.32503399 16.10906402 16.816975   16.44910499 17.52996098 15.976669
 16.46880401 16.68607001 16.86723999 17.10607001]",2,nan,nan,0.0,0.0,4.311742152989609,[],4.308169578987872,None,38.65731272299308,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,6,6,0,5,5,5,3.7205426589935087,3.704006075975485,-290.7747477521427,210.18316096759244,-265.58973691704455,186.86258668443506,-245.6116174580752,168.3634396349765,-314.6076716169719,232.25174275275572,2,"[17.10607001 16.63904    17.04636402 16.53376099 16.34835199 16.65860202
 17.29053899 16.17290601 16.68608599 16.66930699 16.51231901 17.51693999
 16.038345   16.59734902 16.75059    17.15757698 16.11376001 16.57551801
 16.539142   17.69538    15.79418601 16.711431   16.57114498 18.13103
 15.20936802 16.67341398 16.73669202 16.68304298 17.17509702 16.18874699
 16.493181   16.76182001 16.86908299 17.117496   15.99358601 16.57272401
 16.81135598 17.15769901 16.23990599 16.62277   ]",0,nan,nan,0.0,0.0,3.707512160995975,[],3.7040475749818143,None,43.84368946100585,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,7,7,0,6,6,6,3.633338546991581,3.617553013988072,-280.592478301701,-245.2123054791425,-262.3554436404381,-227.6494116996614,-244.02324688699218,-209.99487354115226,-298.64126437446737,-262.5939093710233,2,"[15.954259   16.676208   16.714631   17.002629   16.28240198 16.70297302
 16.46003401 16.83012297 16.98100602 17.51093898 15.914613   16.64219602
 16.23195398 16.88889202 16.43278101 17.203906   16.40614998 17.55133402
 16.21187499 15.92309601 16.77442199 16.96291601 16.06306099 17.47827799
 16.33546202 17.46509699 15.61552001 17.297274   16.51531199 16.64468201
 16.24040899 16.87648401 16.59078102 16.69972    16.491102   16.66142399
 16.592347   16.87849499 16.706316   17.98078799]",0,nan,nan,0.0,0.0,3.621230540011311,[],3.5996127190010156,None,48.429866190999746,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,8,8,0,7,7,7,3.3747470320085995,3.3584231160057243,191.5124323325712,140.8822568921801,163.09504976662672,119.15971734078765,140.9433850402795,102.22675695885849,216.15814414115698,159.72169251901406,2,"[17.98078799 16.75047298 16.55472501 16.59621499 16.84611902 16.280729
 16.96200599 16.87644701 16.41278499 16.59323799 16.63218701 16.71778402
 16.82923298 16.66266    16.410262   18.04946602 15.45013598 16.55237901
 16.803823   16.73731601 16.766385   16.79722298 16.24809401 16.787909
 18.32603701 15.082025   16.49408101 16.570362   16.65803598 17.68962102
 15.71857199 17.89387502 15.02255999 17.16856798 16.41423602 17.59436101
 15.87254298 17.88411301 15.51299301 16.85661898]",0,nan,nan,0.0,0.0,3.362231540028006,[],3.358463541022502,None,52.92311017800239,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,9,9,0,8,8,8,3.4300701979955193,3.4134295459953137,78.40779554405258,-381.73964523953236,78.37147475329756,-348.3997030096044,78.33512849660204,-315.0363848297557,78.44548229872315,-416.33344668030077,2,"[16.85661898 16.62978702 17.27692998 16.257298   17.07116899 15.927128
 16.70723601 16.92514002 16.62712    17.18191398 17.11618301 15.4756
 16.93116201 16.57411898 17.19127901 16.18295899 16.53647501 16.65083598
 16.78478002 16.474665   17.73995699 15.725326   17.16847901 16.02483398
 16.659324   16.71620601 17.24582099 16.30221601 17.01406599 17.19635801
 15.592576   16.657028   17.253003   16.25867499 17.031578   16.12006602
 16.67891198 16.670907   17.29697801 17.23312101]",0,nan,nan,0.0,0.0,3.4170698869857006,[],3.4134732149832416,None,57.16306130599696,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
1,10,10,0,9,9,9,4.569273129978683,4.552615246997448,-82.07932526670412,69.12039543231111,-100.43493989648795,33.95671546215817,-117.2393539037992,1.7646560755852079,-62.08233442890375,107.4284445153166,2,"[17.23312101 15.099443   16.883862   16.05270899 16.62304901 18.46953598
 16.043218   15.82626    16.941971   15.99631901 17.40604002 16.10851497
 17.156235   16.436904   16.939719   17.062923   15.640792   16.85257902
 17.06125098 16.091928   16.66090501 16.56377499 16.94371001 16.57071098
 17.806341   16.96499201 15.832584   16.14170099 16.551515   16.893266
 17.72316601 16.03985298 16.75437301 15.87544801 18.29432198 15.15491403
 17.31109698 15.88230502 17.28518598 16.18193102]",0,nan,nan,0.0,0.0,4.557150165986968,[],4.5526548299822025,None,61.44291905598948,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1434,2021.1.4,
