prot_id,trial_id,trajectory_id,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Var1,Var2,Var3,direction,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,1,1,0,0,0,0,,,,,,,,,4.17258307459997,4.15673059161054,-577.679345458234,-62.44531670225555,-571.1796912951893,-29.66335045758772,-564.9400688398276,1.8071074437171433,-584.2284610340839,-95.47674889146758,0,"[16.73001799 16.78197301 16.77304201 16.366645   16.95383998 16.35435602
 16.736408   16.75639901 16.904327   16.55493499 16.517615   16.57871198
 16.72513701 17.40040199 15.97156402 16.52084599 16.65064    17.75596201
 15.7055     16.83127598 16.55082501 17.29500201 15.93887    16.68575901
 16.68002998 17.00756201 16.594616   16.25485701 16.731993   17.97909799
 15.470977   16.67255399 16.70290701 18.142557   15.63797001 16.04091798
 16.71095702 16.813386   17.473541  ]",0,nan,nan,0.0,0.0,4.165284468617756,[],4.156790452601854,None,17.884303779981565,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,2,2,0,1,1,1,,,,,,,,,3.4246307405119296,3.405927508487366,-132.6492801831031,154.79378590292302,-150.26308316130013,136.99857770515104,-167.5546063354212,119.52896848328268,-114.50824558097972,173.12165570295275,0,"[16.797608   17.00506802 14.75010198  6.01260801 12.53889201 16.34196
 16.68374299 17.057511   16.411102   16.57573701 16.38221499 18.45707302
 15.43651999 16.29115301 16.797113   16.73034701 17.25049998 15.926769
 16.51877601 16.637733   18.54289198 15.49112902 16.00174498 16.76912402
 16.78837798 18.071436   15.160963   16.71598101 16.42104    16.90948801
 16.812658   16.43386899 16.753893   17.65507201 17.17414599 15.26940701
 16.37560001 16.70317099 17.190844   16.768562  ]",0,nan,nan,0.0,0.0,3.409530179487774,[],3.405969533487223,None,22.923320526984753,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,3,3,0,2,2,2,,,,,,,,,4.622398460400291,4.605682469409658,64.47329214599682,38.67266062824693,44.95136693124903,55.38169498975466,17.48171597632941,78.89327679612444,83.00502420038839,22.811143679029207,0,"[16.768562   17.23031802 16.10199301 16.97400099 16.53214201 16.58298098
 17.036634   16.16836901 16.707656   16.89342799 17.80497099 15.301637
 16.78869402 16.55756799 16.637227   16.78272599 16.72280201 16.47387299
 18.32414401 15.40636399 16.373416   16.70065499 16.91784401 16.30215399
 16.93357801 16.42156401 16.71682499 16.638987   16.99902499 16.846043
 17.07026901 15.67155501 16.848336   16.69765398 16.689243   16.375284
 16.676931   17.129721   16.262808   16.794886  ]",0,nan,nan,0.0,0.0,4.609188618400367,[],4.605723361426499,None,27.202806240995415,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,4,4,0,3,3,3,,,,,,,,,4.274038111412665,4.257433346414473,-123.00752989086665,248.03350084282553,-149.3287609209901,248.2412698119195,-178.60696659247552,248.47237992232135,-98.98377286499678,247.84386718833133,0,"[16.794886   16.62003898 16.822184   17.35130802 15.75075497 16.576836
 16.704462   16.82368101 17.24614299 16.17406801 16.48343599 16.72510002
 16.579341   16.84785    16.53559098 16.60563602 16.930813   16.46158198
 16.61256302 16.87234    17.210358   15.88579899 16.695047   16.669845
 16.74595301 16.73840301 16.67654599 16.40955801 16.730159   16.646253
 16.62602997 16.946502   18.05842901 15.21209301 16.50322299 16.76373402
 16.44885799 17.54330398 16.01969302 16.67604799]",0,nan,nan,0.0,0.0,4.261274105403572,[],4.257473659410607,None,32.685293043992715,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,5,5,0,4,4,4,,,,,,,,,4.32380305940751,4.3087679014133755,-366.04272577100954,324.9697403857114,-343.3772375931068,290.2857456117389,-324.22126470629973,260.97220697178466,-389.21114959969753,360.4233553569885,0,"[16.67604799 16.63526002 16.717427   16.70831398 16.37710101 16.86768699
 16.69557099 16.49685102 16.88792999 16.672022   16.83561801 16.35548301
 16.57053299 16.78498401 16.78597101 16.66353497 16.461413   16.73387302
 16.56369297 16.77048602 16.800282   16.72916798 16.759227   16.45331099
 16.457299   16.778533   17.24649002 16.32996899 16.457655   16.62185701
 16.91420999 16.80721599 16.48865201 16.539929   16.48458402 17.73909599
 15.70736401 16.57429198 16.94062701 18.087631  ]",0,nan,nan,0.0,0.0,4.312252305389848,[],4.308810962393181,None,37.819342767994385,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,6,6,0,5,5,5,,,,,,,,,3.723122024384793,3.7064930093765724,-293.304252933043,212.52540786425092,-269.09508842165627,190.1084383811892,-249.8673071975677,172.3040823190605,-317.87026522378494,235.27280782442142,0,"[18.087631   16.77719099 16.32683899 16.75249802 17.03701698 16.93919802
 15.967571   16.62344398 16.62829    17.328349   16.26647901 16.45913799
 16.53976302 16.73947298 17.32246901 16.247919   16.56276599 16.67904202
 16.545316   16.68251399 16.80924301 16.71001999 16.57095901 16.993439
 16.29985101 16.53933598 16.772478   17.22074201 16.54847499 16.09924799
 16.709841   17.52603101 15.918536   16.761473   16.62942901 17.94493801
 15.33198098 16.49552101 16.74020101 16.882759  ]",0,nan,nan,0.0,0.0,3.7107398613879923,[],3.70653213938931,None,43.00237906599068,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,7,7,0,6,6,6,,,,,,,,,3.623929099412635,3.607144237437751,-270.93030045622714,-235.90729475067343,-252.75688976776115,-218.40567305280075,-228.2852512298111,-194.83864057000403,-288.85796683498074,-253.1722561971096,0,"[16.882759   16.89703998 16.885713   16.31577301 16.79372901 16.55091799
 16.60092198 16.81635802 16.48806498 16.66028899 16.80346101 17.676708
 15.51644399 16.690574   17.19811102 16.37581497 16.71721102 16.70500499
 16.35886999 16.76057299 17.47893702 15.82739898 16.79020602 16.73679298
 16.304989   17.00178802 16.438021   16.70983899 16.76699499 18.09504602
 15.06865499 16.68417398 16.64309402 16.68742899 16.83608    16.64688101
 16.45127501 16.81982001 16.59282198 16.62686502]",0,nan,nan,0.0,0.0,3.610595460428158,[],3.607183591433568,None,47.58540879297652,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,8,8,0,7,7,7,,,,,,,,,3.3746245274087414,3.3580245533958077,189.16369657773163,139.08685912069726,162.62189675022273,118.798034307917,139.69913880157577,101.27564233494151,215.93492694259538,159.55106299628963,0,"[16.62686502 16.700676   18.48896602 15.18603499 16.18683402 16.70040199
 16.78459599 16.624668   16.80077601 16.645061   18.07379999 16.04038
 15.78441702 16.85601199 16.73049098 16.5197     16.519375   16.701613
 16.676186   16.729619   16.79980199 16.51195402 16.44411701 17.693912
 15.85028498 16.527581   16.86900301 16.620924   16.507183   16.707117
 16.64897101 16.75471099 16.81510502 16.670299   16.37299499 16.81454902
 16.59245999 16.707334   16.84821802 16.59934499]",0,nan,nan,0.0,0.0,3.362166266393615,[],3.3580642963934224,None,52.069380059983814,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,9,9,0,8,8,8,,,,,,,,,3.424892361392267,3.408197214390384,78.39889281875543,-373.56756690848204,78.36349981066154,-341.0792641853027,78.32663201334817,-307.2372082437535,78.43513892406216,-406.8389531273901,2,"[16.59934499 20.84810301 14.238053   15.15188901 18.90140999 15.100102
 16.388961   16.37973401 21.339061   11.777779   18.274934   15.299344
 16.87604599 16.27017302 16.54542401 16.71139899 17.10347101 16.42113799
 16.908608   16.26071401 17.35766599 16.160239   16.63381801 16.43668298
 17.726174   15.65689201 16.71578101 17.22365999 17.58307801 16.44199301
 15.341691   16.85371099 16.475738   16.728035   17.220371   16.25112401
 16.92125801 16.24320101 16.63644199 16.746512  ]",2,nan,nan,0.0,0.0,3.4116506883874536,[],3.408237645373447,None,56.301624195999466,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
1,10,10,0,9,9,9,,,,,,,,,4.574649599409895,4.557600142405136,-76.28676242798143,80.2171541067573,-94.27095210514834,45.765009458639184,-110.44586581202034,14.778877934042796,-55.428114894063036,120.17587089648565,2,"[16.746512   16.63122501 16.64684599 16.51285301 17.31290898 16.20757501
 16.493726   16.89284699 16.559899   17.184069   16.138623   16.61840299
 16.67800802 16.97384199 16.47736199 16.41503701 16.72580201 16.79341198
 16.58188901 16.927363   16.68329298 16.29756601 17.60596901 15.776213
 17.00310298 17.02151503 17.03861298 16.242001   16.06989402 16.612968
 18.494274   14.95678799 17.858562   15.645974   16.995568   18.758978
 15.290073   15.56934    18.028319   15.416535  ]",0,nan,nan,0.0,0.0,4.5618676484155,[],4.557642060419312,None,60.58481483798823,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1436,2021.1.4,
