prot_id,trial_id,trajectory_id,Var1,Var2,Var3,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,1,1,,,,,0,0,0,0,,,,,4.172019482502947,4.158628341509029,-578.882576531661,-68.51399042614236,-572.4390051654992,-36.01488605507593,-566.1476170476132,-4.2833403852624485,-585.697539649201,-102.8862639769551,1,"[16.72769    16.61427598 16.71078202 17.46829099 18.276838   14.26014901
 16.68311498 16.86650602 16.30549697 16.69581301 16.759222   16.53087101
 16.96704701 16.332214   17.83297898 15.579236   16.725191   16.78507699
 16.66374801 17.59934399 15.63667101 16.56229998 16.736691   16.545252
 20.57589201 15.24997401 15.24576699 14.26197801  6.04191099 12.03135902
 16.71641998 16.72067301 17.12499099  5.32371399 11.21379202 16.837576
 16.170274   16.56812298 17.52028801 15.57287501]",1,nan,nan,0.0,0.0,4.169355118501699,[],4.1587120665062685,None,16.105036238994217,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,2,2,,,,,0,1,1,1,,,,,3.4178733566077426,3.4012337785970885,-135.27332111047332,152.14271987931477,-154.686268631976,132.5298376808946,-171.36790119562295,115.67640035584415,-119.32883883587695,168.2514149767531,1,"[15.57287501 16.01256599 16.77154002 16.66388899 19.39803199 15.01918799
 16.031495   16.18441002 16.72803098 17.11306101 16.93683499 17.15708201
 15.36581499 16.59752801 16.650826   16.791548   17.67353999 15.92090802
 16.28580698 16.778483   16.72132002 17.05970199 16.09185    16.66757799
 16.632243   17.25144801 16.17258799 16.85565102 16.544007   17.34464598
 15.81214901 16.767747   16.64024999 17.05101202 16.31718699 17.451238
 15.812378   18.394146   15.09489899 16.65814   ]",0,nan,nan,0.0,0.0,3.4052259876043536,[],3.401275732612703,None,21.138930982997408,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,3,3,,,,,0,2,2,2,,,,,4.621534934616648,4.6048396546102595,63.230590358671265,39.736303001481886,44.23471268334805,55.9950873842943,16.053878138494213,80.1153791877997,82.16914615342029,23.526581058036726,2,"[16.65814    17.00009601 15.406085   17.58715999 16.26628501 17.278774
 15.72142099 16.60808601 17.24285801 15.93332898 16.84922801 17.56420502
 16.645489   16.05856    16.16896299 16.759644   18.03183701 17.653135
 15.81828299 15.20759001 16.606383   16.74168199 16.74307202 21.25903399
 12.22022201 17.21900699 15.867393   16.65553902 16.78429899 17.84261799
 15.448344   16.53224402 16.68211198 16.75489402 17.71895599 15.51055899
 16.79626299 16.668789   16.620582   16.68597001]",1,nan,nan,0.0,0.0,4.6083527236187365,[],4.604879415623145,None,25.41897932998836,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,4,4,,,,,0,3,3,3,,,,,4.278514706529677,4.262002487521386,-117.17893631430348,247.98749232303842,-142.18434981657128,248.1848747699,-169.75207217756378,248.40248302874838,-91.93307580898859,247.78821188645566,3,"[16.68597001 16.65587799 16.80373301 16.65018799 16.53142602 16.63777299
 16.86413199 17.02681201 16.270772   16.66377098 16.514371   16.67006902
 16.89461898 16.491977   16.79275002 21.01784901 13.20212099 15.965358
 16.531317   16.57940701 16.768837   16.58971698 16.79704801 16.35978301
 16.81963698 16.57459902 17.78204998 15.54366102 16.71312097 16.58683602
 17.862815   15.53206999 16.85232    16.52268801 16.60795801 16.612245
 16.78525298 16.67210599 16.82125501 16.553839  ]",1,nan,nan,0.0,0.0,4.265798935521161,[],4.262060099514201,None,30.90721228599432,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,5,5,,,,,0,4,4,4,,,,,4.322325049579376,4.305875465593999,-364.1256413797785,322.03611087441107,-341.3722838993581,287.217653590503,-321.66480487559215,257.0601694850043,-386.8489733614971,356.80862146474334,3,"[16.553839   17.46359401 15.951732   16.87955798 17.38636001 16.61663601
 15.79522601 16.67681299 16.61963001 16.97711699 16.46823599 16.586663
 16.56012202 16.779736   17.60630199 15.79273201 16.50810699 16.77249401
 17.57114899 15.826282   19.22285801 14.156194   16.62738898 16.67024
 16.449121   16.71304801 16.75117601 17.76301098 15.52692402 16.62207098
 16.73771802 17.70267898 15.564028   16.917539   16.40577501 16.847469
 16.57747501 16.637475   16.61448501 16.923049  ]",0,nan,nan,0.0,0.0,4.309500901581487,[],4.305916224577231,None,36.03530013299314,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,6,6,,,,,0,5,5,5,,,,,3.7214792335871607,3.70468615059508,-291.7193256913144,211.05781216948859,-266.6566417861941,187.85050900128354,-246.58135709618688,169.2613898250312,-315.54474920467777,233.1194488512864,3,"[16.923049   16.737759   17.100628   16.12915201 16.854013   16.565083
 16.73695    16.42298501 16.84008699 16.67462001 17.85964199 15.56920502
 16.45047599 16.67449399 16.76781502 16.75451201 16.637989   16.52219999
 16.64997099 17.67256501 15.68117499 16.69380401 16.76809599 16.71708401
 16.576194   16.52364599 16.77189901 16.71218901 17.91155798 15.41734301
 16.64065901 16.565795   16.77396498 17.645577   15.71748802 16.64280301
 16.65301298 17.07622703 16.23815898 16.66150201]",0,nan,nan,0.0,0.0,3.7081712746003177,[],3.704727883596206,None,41.219146633986384,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,7,7,,,,,0,6,6,6,,,,,3.619266492605675,3.6028898246295284,-266.0082815315764,-231.16722065639902,-252.41522405106846,-218.07663717598086,-221.54619456937994,-188.34869642615377,-284.78746671917077,-249.2522241035595,9,"[16.65301298 17.07622703 16.23815898 16.66150201 15.85077899 16.126859
 16.76873202 20.51945598 13.75932602 17.07561998 15.66632502 16.327213
 16.672506   16.78454198 19.54619601 15.05176802 15.66798097 16.29850001
 16.709235   16.70484702 24.96094399 23.47515599 18.850664   16.74226901
 17.97011998 19.71281302 11.66610999 20.112475   28.466335   19.97548499
 19.134217   14.23223902 15.68287198 16.48782101 16.95415901 17.15062698
 19.85714401 12.61708699 17.367541   16.18087501]",6,nan,nan,0.0,0.0,3.607456375611946,[],3.6029451186186634,None,45.804703866975615,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,8,8,,,,,0,7,7,7,,,,,3.3719648575643077,3.3554421595763415,185.2000342574598,136.05699487050933,158.53278745313526,115.67227709822949,136.48390002771123,98.81788074235405,211.8668282375339,156.44136649927412,9,"[16.18087501 16.801903   16.82086801 16.638817   16.68202499 16.518933
 16.608834   16.95311599 16.39910002 16.83794701 16.39955799 17.81057401
 15.64327799 16.61055701 16.66720599 17.369421   15.94776599 16.69707301
 16.634286   16.80826402 16.76505298 16.55459803 16.57767198 16.70276801
 17.14396398 16.16247502 16.68990401 16.73554099 16.59959898 16.78638801
 16.44531899 16.77950201 16.61141799 17.432441   15.75671302 16.70131198
 16.713127   16.78874102 16.78153599 16.578751  ]",0,nan,nan,0.0,0.0,3.3588340115675237,[],3.3554821735597216,None,50.284747691999655,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,9,9,,,,,0,8,8,8,,,,,3.4197478895948734,3.402861107606441,78.38773614681448,-363.3265234108745,78.35125353773616,-329.83804329288796,78.31478180093451,-296.35954316348125,78.42422835137215,-396.8238115068837,9,"[16.578751   16.64849999 17.021851   16.41330801 16.71829401 16.40390998
 17.84898801 15.51079901 16.86742099 16.62352    17.395275   15.828528
 16.654904   16.70188399 16.95356402 16.531548   16.643162   16.48700499
 16.79576701 17.503379   15.71885298 16.71203002 16.75882298 16.61902401
 16.897539   16.27105    16.71888001 16.67163099 17.473149   15.81461
 16.69618601 16.64756399 16.82663002 16.81584    16.635657   16.41952599
 16.73986801 16.74258499 16.74721    16.420322  ]",0,nan,nan,0.0,0.0,3.406403562607011,[],3.40290238961461,None,54.519205873977626,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
1,10,10,,,,,0,9,9,9,,,,,4.582047695497749,4.565326662472216,-69.12129230687982,93.94397847390611,-88.35256065049774,57.102816840569,-106.66401758278288,22.023729360200804,-49.72343586016466,131.10427138463677,9,"[16.420322   16.74410698 16.830893   16.79653302 16.31297098 16.75763002
 16.847769   17.26691998 15.88595001 16.779019   16.670827   16.537891
 17.169862   16.08590101 16.902517   16.36408299 17.518865   15.81516801
 16.711968   16.67935    17.65175699 15.692421   16.653214   16.669114
 16.773487   17.04001302 16.32124398 19.28489702 13.85234098 17.43397702
 16.75094798 15.856971   17.172066   17.39625802 17.30738598 15.26925602
 16.34299298 16.62196399 16.768995   18.209434  ]",0,nan,nan,0.0,0.0,4.569608173478628,[],4.565368846495403,None,58.80587866099086,None,../,999,1,noiseMot_exp1_noise,2021_Jul_19_1439,2021.1.4,
