prot_id,trial_id,trajectory_id,Var1,Var2,Var3,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,1,1,,,,,0,0,0,0,,,,,5.392215718049556,4.149922175100073,-575.5324362783206,-51.617062998165984,-581.9131856292257,-83.79931525188803,0,"[16.853804   16.37754496 16.66367194 16.49031905 17.20738504 16.5515719
 16.81527006 16.76342799 16.30706899 16.85684989 16.57413715 16.68286999
 16.62820484 16.93249517 16.63633203 16.33860194 16.77266485 16.40759199
 16.57054201 16.87063603 16.36811718 17.00651785 16.66847314 16.61403896
 16.93179598 17.00847503 15.75849904 16.53470588 17.38548605 16.43647999
 17.42975204 16.03084197 16.6522169  16.41395316 17.103252   16.68383484
 16.41820511 16.68393402]",0,nan,nan,-541.0,-172.0,5.390177095076069,[],4.1500581400468946,None,16.73865626519546,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,2,2,,,,,0,1,1,1,,,,,4.644206806318834,3.4109356773551553,-126.62099421570355,160.8841574143093,-108.69631205238593,178.99344655362594,1,"[16.68393402 15.67559713 16.89088903 16.46119985 16.99015801 27.4572752
 15.44847782  8.866488   15.17854212 16.24841895 16.7914019  16.52227715
 16.29065303 17.0036389  16.49655309 16.81899186 16.52214117 16.56598086
 16.75307006 16.53252705 16.71451004 16.43910096 16.59961883 17.0695351
 16.23760606 16.66709105 17.33073778 16.3400392  17.29319594 16.25054097
 16.5911389  16.7881751  16.30060188 17.06722705 16.36714302 16.77936502
 16.71658712 16.50379295 16.91742684 16.38319809]",1,nan,nan,-27.0,200.0,4.639348965371028,[],3.411020095460117,None,22.99734533810988,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,3,3,,,,,0,2,2,2,,,,,5.601442631799728,4.611092529958114,69.54718928445581,34.32985525937788,88.37985308617006,18.21076745835274,1,"[16.38319809 16.63759304 17.13735098 16.34594495 16.20726893 17.29322202
 17.60879904 15.5553529  16.861449   16.89807721 16.27202192 16.76745689
 16.41267515 17.11476082 17.00455602 16.04915503 17.91695715 15.4614218
 16.49406017 16.77368791 16.69581607 16.68927097 17.05008699 16.58104011
 16.44279691 16.21846692 17.16234209 16.74621808 16.63939399 16.46844484
 16.7781401  17.62192696 15.84383706 16.50772197 16.76657307 16.55632001
 16.72912692 16.63066586 16.48578513 17.61293504]",0,nan,nan,103.0,1.0,5.599748260807246,[],4.611280127894133,None,28.529099631123245,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,4,4,,,,,0,3,3,3,,,,,5.349940705811605,4.258920526597649,-122.21019183478037,248.0272069842388,-96.25274895266257,247.82230960912133,1,"[17.61293504 16.62397222 16.83071698 16.50271984 16.70335303 16.63956605
 16.75657509 16.22460899 16.77685301 16.26696996 17.42993388 16.33471716
 16.70745295 16.84132591 16.46607509 16.68131794 16.97714906 16.42379002
 16.75955486 16.50736411 17.04673003 17.01189601 16.52068994 15.80432989
 17.61233318 16.29769383 16.26688009 16.93959907 16.52897382 16.71897504
 16.81940211 16.73245593 16.28828212 17.15816488 16.47177315 16.4874068
 16.84404002 16.54690714 17.27674389 16.45332994]",0,nan,nan,-19.0,217.0,5.347599687753245,[],4.2590438215993345,None,35.017344003077596,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,5,5,,,,,0,4,4,4,,,,,5.558238431578502,4.302378734573722,-360.5775605729444,316.60663963620317,-382.86254575501414,350.7083674933829,1,"[16.45332994 16.63830201 16.90103184 15.99901821 17.14332192 16.74358989
 16.00533118 17.0092599  16.72730991 16.77995408 16.79908601 16.18174091
 16.92191511 16.46015397 16.580906   16.85760799 16.34571399 17.15911995
 16.27804106 17.05511007 16.50927984 16.40884602 17.52788015 15.93118696
 16.60347707 17.18641887 16.13110793 17.06381817 16.17909386 16.65005716
 16.452746   16.9725779  16.93981793 16.93743421 16.18718286 16.79463894
 16.53130911 17.28420099 16.29649708 16.42600587]",0,nan,nan,-397.0,315.0,5.5570637956261635,[],4.302507639629766,None,41.25407583499327,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,6,6,,,,,0,5,5,5,,,,,4.947644844651222,3.7074249878060073,-295.5011165676018,214.55963853880348,-319.4953496461434,236.77758787935778,1,"[16.42600587 15.38540702 16.7162891  16.43807301 16.79188386 18.21709913
 14.683977   17.75988797 16.19135402 16.51576697 16.57713298 17.11161295
 16.33079001 17.05260109 16.67664899 16.30105893 17.01723016 17.19142892
 16.42703405 16.06444782 16.41998417 17.38767396 16.01989102 16.46222407
 17.4412888  16.47303998 16.51667408 16.2653611  17.17594103 16.30798797
 16.712151   16.91271993 16.75572107 16.41652198 16.848773   16.63631597
 16.530019   17.16884691 16.35811501 16.79979614]",0,nan,nan,-339.0,219.0,4.945832644822076,[],3.7075528686400503,None,47.70159253710881,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,7,7,,,,,0,6,6,6,,,,,5.0536907815840095,3.603597247507423,-267.73272042207384,-232.82791482217496,-285.013130823067,-249.46954642378242,1,"[16.79979614 16.11030195 16.69599302 16.67478401 16.76244987 17.05833897
 16.7691051  16.67325594 16.34157612 16.69749687 16.12894307 17.35959109
 16.3155389  16.69508498 16.81528403 16.76829392 17.777954   15.49488516
 16.5977648  16.93331613 16.28599688 16.942719   16.16764301 16.72986499
 16.9311231  16.62984001 16.96877601 16.08144701 16.84434386 16.71885699
 16.70473418 16.61583898 16.88371506 16.92745695 15.75337583 16.90512407
 17.12805009 16.64014487 16.08140604 16.69059205]",0,nan,nan,-310.0,-244.0,5.047211558558047,[],3.603686575544998,None,53.536416434217244,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,8,8,,,,,0,7,7,7,,,,,4.456491576042026,3.3564568171277642,186.88988797571784,137.34873643557938,213.59122705401396,157.7595146927764,1,"[16.69059205 16.51124004 17.10329088 16.82554302 16.08362398 16.83715102
 16.74891612 16.33254392 16.8783539  16.91441005 16.85378607 16.66606287
 16.08899096 17.11220108 16.63567708 16.74956805 16.25693496 16.64962084
 16.59695106 16.62709797 16.76535397 16.64818707 16.7365591  16.92828187
 16.43080707 16.82372694 16.62067208 16.46057796 16.76154695 17.707953
 15.34969313 16.89428091 16.94589597 16.702533   16.63327613 16.66697604
 16.8073969  16.51091408 16.77856687 16.5700661 ]",0,nan,nan,234.0,169.0,4.450969251105562,[],3.356556958053261,None,59.46923142601736,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,9,9,,,,,0,8,8,8,,,,,4.936698276316747,3.4026956632733345,78.386513791752,-362.20448706968807,78.42335705787875,-396.0240250999368,2,"[16.51091408 16.77856687 16.5700661  16.58866392 16.67433092 18.92200112
 14.22771998 17.05618994 16.73011412 16.64279285 16.31477103 17.08945795
 17.86381798 17.18116808 14.62983713 16.21058187 17.98566291 15.78084519
 16.603556   16.97886991 16.15198306 16.42645802 17.33266586 16.62799111
 33.3282419  16.81976207 16.20015991 16.69235318 16.95216098 16.901033
 16.80853986 16.52626996 16.4967     16.30049502 17.2604972  16.12934284
 16.76242193 16.61789604 16.91176905 16.7057761 ]",1,nan,nan,78.0,-402.0,4.930813598213717,[],3.4027892930898815,None,64.80987641704269,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,10,10,,,,,0,9,9,9,,,,,5.7654838047456,4.555730803869665,-77.84627990190502,77.22960100832115,-58.10169426572976,115.05411979763953,2,"[16.7057761  16.80681016 16.58097887 17.04371115 16.43053396 16.97541703
 16.42865804 16.94554184 16.49491605 16.63981611 17.14747795 16.01512404
 17.17749587 16.5027061  17.08455803 15.82270279 16.64983109 16.71850192
 16.65199315 16.60758094 17.34695211 16.01571194 16.75859489 17.00928807
 16.26738789 16.94107917 16.7865979  16.45009103 16.59967587 16.65174309
 16.930026   16.24447596 16.72914601 16.60328102 16.73688111 17.02098199
 16.41571685 16.87109703 16.99270098 15.97395609]",0,nan,nan,-41.0,114.0,5.763453928753734,[],4.555819969857112,None,70.65165389911272,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,1,29,1500,2000,2000,0.4035137006738703,,,,,0,0,0,0,3.670438813511282,-1077.1980496945325,437.7833701294616,-112.05412071086474,437.7833701294616,-112.05412071086474,4,"[16.73688111 17.02098199 16.41571685 16.87109703 16.99270098 15.97395609
 16.24334301 17.07332395 16.38440299 16.62199292 16.72289916 16.52871585
 17.15629315 16.34919783 16.60736813 16.82274789 16.47729496 16.34274004
 17.21218415 16.48549782 17.07880106 16.44992502 16.98125596 16.55240892
 16.49090019 16.59435802 16.76449878 16.46935218 16.90352499 16.32171101
 16.40949189 17.05578109 18.12631893 15.26372996 16.91964618 16.10224391
 17.01794309 18.48562481 22.78443915 84.56215984]",2,nan,nan,268.0,-142.0,3.6682131106499583,[],2.2850788466166705,None,78.2192283901386,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
