prot_id,prot_subset,trial_id,line_orientation,trajectory_id,no_targets,noise_present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_5.started,text_5.stopped,cued_cage,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
9,4,301,vertical,403,2,noise,0,0,0,0,16.97779512501438,None,left,5.118597465800121,3.469104340794729,-414.09376424377655,371.664299551949,-407.65220636686354,369.8069551625395,-401.3027787451376,367.97617540482884,-420.4744354138588,373.50408800450555,0,"[17.10949998 16.75187499 16.52829102 16.22745901 16.90049999 16.75325001
 16.69316599 16.63216701 16.83454198 16.70212499 16.99075001 16.28095799
 16.04279201 16.84533301 16.99941698 16.74516601 16.45458399 16.59333301
 16.81933299 16.779584   16.97970802 16.576917   16.38991598 16.12366701
 17.77400001 15.40458298 16.742084   17.33170802 16.828625   16.56262498
 16.74008303 16.27362499 17.069875   16.49412498 16.74379202 16.519417
 16.76100001 16.59641598 16.72275001]",0,nan,nan,-313.0,341.0,5.112181090808008,[],3.469169507792685,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,302,horizontal,669,1,noise,0,1,1,1,,,lower,4.955588040058501,2.988964707037667,-405.6412055774612,-230.83977060818592,-400.36374095884304,-226.6386172496359,-395.17473664165766,-222.50788317748942,-410.92679372063543,-235.04739074101826,0,"[16.72275001 15.715708   16.51429199 17.44724999 16.904583   16.466292
 16.19108301 16.73304199 16.332375   17.41270802 16.58591698 16.39433301
 16.76366699 17.18120801 16.28079198 16.13483301 16.53441699 17.38054201
 16.62066599 16.08266699 16.84029202 16.50941599 17.27395901 17.02029101
 16.28391698 17.07908302 16.35391699 16.58525001 16.68862501 16.26174999
 16.786958   17.001959   16.53875    16.86999999 16.10395801 16.99062498
 16.58650002 16.863458   16.89020899 16.60937499]",0,nan,nan,-375.0,-157.0,4.948166957037756,[],2.989027332048863,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,303,horizontal,957,1,noise,0,2,2,2,,,lower,4.221458707033889,2.4712947900407016,-297.5236479858545,-156.00843897523762,-290.91369763427264,-156.75580046412975,-284.11501663233594,-157.52450099678867,-304.3462926989643,-155.23702895855703,0,"[16.60937499 16.595083   17.01808299 16.84237501 16.45083399 16.24941599
 16.80087502 17.288709   16.30316599 17.073542   16.65783301 15.95629199
 16.80975    16.72750001 17.11245801 17.13029199 16.133292   16.53541601
 16.29454197 17.45745802 16.17091699 16.71125001 16.545625   17.118458
 16.700209   16.025541   16.87320901 17.095583   16.504542   16.713791
 16.09175    16.62862499 17.27816701 16.64620798 16.12404201 16.80041701
 17.106916   16.629625   17.15562498 15.61879201]",0,nan,nan,-293.0,-121.0,4.214946165040601,[],2.4713648320466746,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,304,horizontal,647,2,noise,0,3,3,3,,,lower,4.5215560820070095,2.8209345820068847,-479.584190351394,-192.98952318935676,-483.7461478110534,-187.5367759289528,-487.71438530342493,-182.33782896111614,-475.54880763205705,-198.27643980991903,0,"[15.61879201 16.51125    16.68933302 16.16891701 16.65325    16.53374999
 17.30370801 16.73174999 16.18037501 16.78079198 17.03037502 16.68249999
 16.08220799 16.78783301 17.10500001 16.932834   15.80266599 16.62258399
 17.00129101 16.52495901 16.49099999 17.33970799 16.09516703 16.94866599
 16.825125   16.82508399 16.66566601 16.187542   17.016083   16.70041698
 16.16275002 16.57266699 17.041916   16.33858398 17.01783302 16.851875
 16.351542   17.14070799 16.62745801 16.014625  ]",0,nan,nan,-427.0,-161.0,4.514321041002404,[],2.821004666009685,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,305,horizontal,568,2,no_noise,0,4,4,4,,,upper,4.5702332890359685,2.236510956019629,-103.8334068933248,200.15267780291506,-107.47272632822957,194.70781787009133,-111.19471470542697,189.13927524888882,-99.96593760904717,205.93887737237955,0,"[16.014625   16.68795801 16.73599999 16.62733301 16.49466698 17.08766702
 16.15029099 17.60412499 15.5065     17.25612499 15.93579201 17.54941701
 16.48362499 16.74237501 16.657625   15.98620799 17.436458   16.48349999
 15.91533402 17.03929101 17.13795899 16.542458   16.80954199 15.86016599
 17.04062501 16.371084   17.356083   16.568708   16.02979199 17.44308299
 17.08254201 16.65787501 15.58816701 16.98329099 17.211459   16.39383301
 16.74274998 16.37341702 17.40016599 16.12104199]",0,nan,nan,-126.0,150.0,4.558964289026335,[],2.236572956026066,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,306,vertical,50,1,no_noise,0,5,5,5,,,left,5.092628039012197,3.475979081034893,-319.8922770401747,227.2485172988506,-325.3219976560893,231.15537418328654,-330.80531870195256,235.10079828389559,-314.55721597289494,223.40977097394838,0,"[16.12104199 16.54608399 17.252833   16.622875   16.38845803 16.95008398
 16.68662499 16.75425001 16.651666   16.28012501 16.38324998 17.409375
 16.51875002 16.06995898 17.32241601 16.78941702 16.59583297 15.965
 16.73287502 17.14099999 16.67762501 16.64624998 16.40666701 17.21379199
 16.760208   16.63287502 15.84837498 16.70370801 16.522875   17.41929201
 16.67462499 16.19629201 16.946166   16.74008399 16.729875   16.57199999
 16.885958   16.71666701 16.435125   16.68408301]",0,nan,nan,-203.0,157.0,5.081966831028694,[],3.4760450390167534,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,307,horizontal,821,1,noise,0,6,6,6,,,upper,5.512025372998323,3.9122577480156906,-94.37368104178996,202.0006736122521,-94.98058335552203,208.4533121860608,-95.61289532383329,215.1761084336417,-93.74817528318428,195.35024158259205,0,"[16.68408301 16.682958   16.691      16.60991702 16.77370799 16.66254201
 16.531292   16.709541   16.726125   16.65841698 16.63937501 17.02249999
 16.53970801 16.50633398 16.671416   16.565375   16.68216701 16.637625
 16.7985     16.744583   16.783625   16.96474999 16.50250002 16.577042
 16.6725     17.08649998 16.65037501 16.29       16.69595801 16.54858398
 16.77570801 16.802      16.213917   16.63166602 17.18445899 16.38241598
 16.879834   16.19912501 16.69629102 16.642667  ]",0,nan,nan,-70.0,142.0,5.504965205996996,[],3.912326790014049,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,308,vertical,339,2,noise,0,7,7,7,,,left,5.905769498000154,3.6725888730143197,-568.5594264753086,118.77589597184979,-563.7745289101542,114.1339760963755,-558.9994403831364,109.50157215482977,-573.4185751805471,123.48984828652273,0,"[16.642667   16.50537498 17.08975001 16.182083   16.66158301 16.47179201
 16.65541698 16.62445802 16.87870797 16.742084   16.48695802 16.638125
 16.64983298 17.04725    16.16795902 16.76729097 16.665      16.90279201
 16.48787499 16.83079201 16.775083   16.50645799 16.65237499 16.74720901
 16.713333   16.61875    16.554292   16.534333   16.756625   16.59029201
 16.64308298 16.69000002 16.808958   16.58733399 16.57129099 16.72370901
 16.63429101 16.66270901 16.92566599 16.673292  ]",0,nan,nan,-574.0,83.0,5.898951915005455,[],3.6726500810182188,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,309,vertical,483,2,noise,0,8,8,8,,,left,5.437034124042839,3.8041324160294607,-197.34717401093675,294.5517833989923,-191.54876901924237,290.8902257884964,-185.89394853091085,287.31933844539134,-202.90725309123496,298.06284375103513,0,"[16.673292   16.67479199 16.432      16.89825    16.46566601 16.66641698
 16.69158301 16.905625   16.39129201 16.657667   16.80225    16.53345799
 16.63299999 16.764125   16.90175    16.5035     16.553208   16.703334
 16.64670801 17.15241699 16.30620801 16.63208302 16.66287499 16.49441701
 16.85458299 16.734584   16.59362498 16.67745801 16.46454199 16.93837502
 16.45616599 16.79250001 16.611167   16.76691699 16.60854099 16.55562501
 16.72362501 17.14374998 16.439375   16.517084  ]",0,nan,nan,-151.0,262.0,5.431091166014085,[],3.804196124023292,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,310,vertical,466,1,no_noise,0,9,9,9,,,left,5.0370772490568925,3.486680791073013,-292.05049034854477,114.19669482343286,-286.120210312866,117.22556583815283,-280.20882487585214,120.24478649877709,-297.98703392158774,111.16462472761421,0,"[16.517084   16.332292   16.863542   16.86870799 16.573792   16.95933301
 16.39249999 16.664667   16.56529101 16.75737501 16.47475001 17.15254199
 16.36924999 16.836333   16.52629202 16.82587498 16.39083301 16.69004199
 16.239583   16.96283402 16.84570799 16.35625001 16.87704198 16.57087501
 16.809625   16.561625   16.839791   16.79716699 16.52475001 16.64379201
 16.95337499 16.37079101 16.653167   16.78758298 16.64050002 16.723209
 16.591416   16.65149999 16.665709   16.67720801]",0,nan,nan,-178.0,82.0,5.025187708059093,[],3.4867458740482107,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,311,vertical,468,2,no_noise,0,10,10,10,,,left,3.896580957021797,2.5132377900299616,-198.6598579019829,331.7059188562906,-203.5794279787668,327.15816935167084,-208.45921041264668,322.6472003442251,-193.760812129399,336.23469528139304,0,"[16.67720801 16.60570898 16.69837502 16.847833   16.47449998 16.75816701
 16.44825001 16.69008299 16.61999998 16.57891701 16.95241599 16.53362502
 16.66270898 16.68883301 16.72024999 16.66575001 16.65987499 16.60329202
 17.17483299 16.27349999 16.71016702 16.57058299 16.59474999 16.77854202
 16.52474998 16.87200001 16.511208   16.74791699 16.70512502 16.583791
 16.96924999 16.34129201 16.66287499 16.908333   16.500375   16.61133399
 16.60929102 16.74720898 16.68162501 16.713708  ]",0,nan,nan,-154.0,268.0,3.885938707011519,[],2.5133053730241954,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
9,4,312,vertical,317,1,noise,0,11,11,11,,,right,5.129504915006692,3.329226332018152,296.354955217016,259.5798587770168,289.9723703497834,257.81954496536514,283.49825252183376,256.0339864075295,302.9086515187304,261.3873650393315,0,"[16.713708   16.46329201 17.07274999 16.456791   17.12475001 16.03733399
 16.836875   16.65704101 16.56837499 16.72087502 16.748625   16.68325
 16.60491698 16.650417   16.663833   16.67833302 16.74320898 16.95529101
 16.33454202 16.80287498 16.585      16.568833   16.703667   16.61262501
 16.71174998 16.584792   16.827958   16.57829201 16.61979101 17.09991699
 16.16262499 16.740708   17.71491702 15.99304198 16.35679102 16.58379199
 16.794458   16.546625   17.00299999 16.38795901]",0,nan,nan,274.0,224.0,5.122324207011843,[],3.329287832020782,None,../,jc,904,noiseMot_exp1_noise,2021_Aug_08_2050,2021.2.2,
